minutes,image_processing-0-0.0.1,video_processing-0-0.0.1,model_training-0-0.0.1
1323,3.009378233668348,1.1930392283968947,2.7033187140065835
1324,5.033355778285878,1.2416993809153982,1.2351217730644706
1325,3.030486702522244,1.1031699879946677,1.8392669790376157
1326,3.1896449249902012,1.178097071558919,2.201569555755686
1327,2.633060192782577,1.3508455233888987,1.6566599036114844
1328,4.452568536648206,1.1731229026124226,2.0414840401491445
1329,3.3102637157768062,1.2109434164584287,2.8243178745582678
1330,3.0824540607720827,1.0523700262370623,2.365244900155159
1331,3.338199678001242,1.051889829599383,1.7282359614347624
1332,2.927812113033298,1.3756171500456469,1.642277088066795
1333,4.29822998482225,0.8218857048149649,4.474548427090381
