minutes,image_processing-0-0.0.1,video_processing-0-0.0.1,model_training-0-0.0.1
1323,17.7548805622031,9.096422443889042,15.234243103051883
1324,17.984157260664414,7.198874367314003,10.364444049495848
1325,14.408933521786793,6.998690532349688,11.995920545955933
1326,15.794472405613432,8.304367123993325,14.01691476255555
1327,13.158809282011779,6.9564896978054005,9.912247894714001
1328,18.497010887907447,8.291132335199782,13.269591574637921
1329,19.851304314195698,9.72558149690386,15.824808311707837
1330,16.29919217594894,7.7635858409134775,13.31263846945262
1331,13.567853524974668,7.0999472093234255,11.176801147200404
1332,12.968482399774771,7.572896010937021,10.468003380721832
1333,25.140171358084373,9.827975586246128,18.814461372464198
