minutes,image_processing-0-0.0.1,model_training-0-0.0.1,video_processing-0-0.0.1
1323,5.859247890120368,20.05405098129648,10.854698813451593
1324,9.79992441435225,9.162513793437924,11.297426334251318
1325,5.900345998099005,13.64424903905196,10.037036230410926
1326,6.210226447408275,16.331921160919855,10.71874971115969
1327,5.1265581064282655,12.289613501197222,12.29047708648173
1328,8.669133880247061,15.144357491602209,10.673492937973789
1329,6.445070770902898,20.951660028215407,11.017597538222356
1330,6.001526245491614,17.546115286074826,9.574839957657503
1331,6.499461982313529,12.820586747226674,9.570470956413306
1332,5.700438965775337,12.182917344841947,12.515858230771158
1333,8.36863731121056,33.193578622536016,7.477810932366025
