minutes,image_processing-0-0.0.1,model_training-0-0.0.1,video_processing-0-0.0.1
1323,34.56868442442932,113.01230826655784,82.76251405497692
1324,35.015085277829414,76.8866387394374,65.49794105100005
1325,28.054138357178708,88.98943396860467,63.676596719532306
1326,30.751777255113144,103.98179163720008,75.55611066402332
1327,25.62015125235361,73.53210836366044,63.29263839045869
1328,36.01360932500489,98.43791801536096,75.43569580859011
1329,38.650413436833205,117.39330290873737,88.48682878300893
1330,31.734464714055623,98.75725314174754,70.63588858576753
1331,26.41655882609508,82.91295393785522,64.59786628489083
1332,25.249585541900856,77.6548737600565,68.90092411694276
1333,48.9478173062888,139.5714702798863,89.41844693405787
