minutes,image_processing-0-0.0.1,model_training-0-0.0.1,video_processing-0-0.0.1
1323,9.072795289815433,27.41683984741643,16.577348052416554
1324,7.71666421284489,28.399254719575055,37.04930008508144
1325,7.672679254874373,56.85635591737316,13.844380153105897
1326,10.345977185808687,48.98336088324546,30.232226108022918
1327,7.463577863214052,39.834486115010364,42.36942944628882
1328,11.196230045229727,45.123243023971014,20.71068418438652
1329,6.919962368512973,74.76331085131321,34.498839901993875
1330,14.888016433568165,49.855747529166806,33.74343532637414
1331,8.97590573204143,54.81543542286984,25.56266657368721
1332,10.595945454520704,46.812504793667365,28.170007538025217
1333,15.563366817696847,157.89338829622844,39.307030168298056
1334,,,
