minutes,image_processing-0-0.0.1,model_training-0-0.0.1,video_processing-0-0.0.1
25,29.813953684564066,44.63507133202781,63.947758292100424
26,29.963415616905582,48.456714701258726,57.60165983858459
27,32.805577359233794,49.59141764808413,63.38415362445592
28,33.995286087923475,49.59519979061819,63.111830908191536
29,53.980390088583455,46.5205724775234,67.79937353900186
30,33.337120460676836,49.356856446166276,62.39750635577525
31,34.4863215074544,47.81080258312326,59.04810479486297
32,45.41218098375218,46.25364577894198,64.64396568259752
33,36.20681898656636,48.414914973882404,64.32474883847587
34,36.30822757274836,49.71210195827592,67.7696489130643
35,41.72729707772086,50.9924855407267,66.37029809572732
36,46.73174056515718,50.30151329726935,66.40827108373807
37,28.957061229937942,45.22290949819212,63.85695354689332
38,35.77018954714143,49.107309748494316,66.35198883284896
39,32.19092895952075,48.96061826302197,60.83926857992459
40,30.73379532330823,44.746180439387345,63.07407830055055
41,32.65194227387395,47.72087826809459,64.84853350338535
42,37.28291106650427,47.061374529379506,63.4975435892812
43,34.39494103734436,47.47145355620813,70.16557949469947
44,52.992132865051424,49.62773129298669,67.37270234943843
45,32.01881937770837,50.30439959318054,57.15858057539961
46,35.63822238425825,48.92818967225512,69.52304467486348
47,30.955647805648375,47.89250966134888,62.317877301612576
48,32.84204511966082,45.867254675342195,725.6123322030656
49,45.61527278188655,51.727784152345464,
