minutes,image_processing-0-0.0.1,model_training-0-0.0.1,video_processing-0-0.0.1
25,3.0145199639367335,-8.055991584511126,-29.16712913498582
26,-28.92104491343892,-141.93287029000336,-105.94765481075635
27,-14.89372931528599,-142.7249251496016,-172.40165325605525
28,-25.555213749865146,-105.88798821881,-156.7427890042635
29,24.28557535407351,42.23561893803909,25.092644044932655
30,5.430448544205114,27.296912698460886,13.218591234603375
31,8.69996470166762,50.86538963726242,23.84040870063829
32,11.534301931043256,39.94161549323748,46.622140749018975
33,4.02106015854256,39.812944613339845,15.39178878803975
34,7.8961856793920715,44.4879561921728,33.99602982295908
35,14.212691314715435,50.60397091143499,20.837376056846747
36,12.267112428585401,45.69750170568864,38.53614794245916
37,6.0812927481185595,54.22086673741032,27.488937825588053
38,11.95985841894974,51.65828203797738,24.356355164072305
39,12.27619928509001,53.77261756600019,37.79072618743251
40,9.595759844932921,54.89025608248801,34.528392085513275
41,13.459596166392103,60.79218858672485,31.37856161629175
42,16.45564918201834,61.83413634752818,33.5728959566743
43,10.522500535056896,54.19471098107876,36.75429716374786
44,19.214512391468567,63.95458232137644,15.644439175328602
45,7.186145823167982,87.26124715885386,27.688275754256566
46,12.514243961210523,44.5173446604907,48.31604798339622
47,13.550203874165867,66.43840319763714,24.23503627795544
48,7.832564588445309,38.7814033945345,961.7334306551217
49,18.71516828111393,46.98007471486499,
50,,,
