minutes,image_processing-0-0.0.1,model_training-0-0.0.1,video_processing-0-0.0.1
1323,4.6598937569679055,3.6958346374788493,1.82201522761855
1324,3.963368977410827,3.828265761310225,4.072086121023876
1325,3.9407777886426434,7.664329322040906,1.521634906629222
1326,5.313814867177835,6.603036776665001,3.3228219712498026
1327,3.8333808686807194,5.369753566397942,4.6568211871134935
1328,5.750514678525702,6.082686606169273,2.2763099284055923
1329,3.55417359363152,10.078215994062475,3.7917652110491993
1330,7.646659338858641,6.720635916508025,3.7087387441233726
1331,4.610130147080963,7.389209917401111,2.8095909917873914
1332,5.4422014930855935,6.310401842314584,3.0961636646658475
1333,7.993527193608966,21.284285743423784,4.320233085089911
1334,,,
