minutes,image_processing-0-0.0.1,model_training-0-0.0.1,video_processing-0-0.0.1
25,10.486685467295713,11.240369409079682,21.494838977544592
26,11.125670104990293,13.569505547084148,13.813788909443124
27,11.593365733302335,12.53273587286601,16.30440425845533
28,12.992462475022093,13.109791239748432,16.430841816383857
29,31.270866003428694,9.204928075379978,20.515964268897974
30,12.474220930137319,13.162312437297404,16.547613809028203
31,14.577147978244838,13.261255672748703,14.976337074125201
32,24.75384776590148,8.78415523266183,19.08750612017404
33,15.662297987138762,11.070723635729838,17.831906610034583
34,13.86103800196252,11.596490647378845,18.916597843339144
35,19.66266426115194,12.471367252453419,16.521780179103466
36,23.78880713613479,11.208814198588552,18.00786084088978
37,10.198266354521136,10.419111255783271,20.279558863906427
38,13.154942244395064,12.377207862104175,17.774841442063206
39,11.671253717999349,13.360913282691754,15.59931180300552
40,11.082110846927828,9.53975951310398,19.520868874210734
41,11.21832156997151,11.376922398860904,18.084740639325652
42,16.411107791492373,10.30692897664835,17.105896462361454
43,12.759408933961742,10.327217295462802,23.059646260303285
44,31.328586409942943,10.444825291712203,15.96921449232434
45,11.287993091517937,15.12778686104685,13.21057322387736
46,14.255776947995038,10.909091727375188,22.217061143693655
47,10.213730113505875,11.580542674238176,17.99222659144868
48,11.338076574466479,8.801948102336715,681.0819054017579
49,22.499533804700437,10.53671525015687,
