,image_processing-0-0.0.1,video_processing-0-0.0.1,pyaes-0-0.0.1
0,48.836305,228.00278400000002,49.520004
1,29.201713,162.157449,39.46495999999999
2,47.11517000000002,266.731762,37.724886000000005
3,42.544761000000015,226.90331000000003,35.912196
4,56.41838,210.317118,33.064769000000005
5,32.382299,246.20873000000003,42.593699
6,42.767326,199.02355899999998,36.12679
7,49.75583399999999,267.334002,57.32288299999998
8,34.733810000000005,274.737828,44.52770199999999
9,48.32658000000001,211.316141,49.61564
10,33.112207999999995,202.10383799999997,49.834255000000006
