minutes,image_processing-0-0.0.1,video_processing-0-0.0.1,pyaes-0-0.0.1
1340,17.192917477226516,26.13600211129555,21.087178183802095
1341,13.674684881411432,21.426322925385698,19.421981321891973
1342,16.078498343887766,28.18833524400674,16.399970583815108
1343,15.05562981917917,24.99625017875662,15.907858680861723
1344,19.328666010483946,25.059643001698113,15.749192017466676
1345,13.36528636038646,28.941725748512606,20.070086823431847
1346,16.264129474245706,25.297947099048976,17.27606951454784
1347,16.373462310326715,28.699451322298888,22.044985680339565
1348,13.860494447611359,31.277550661966696,20.12638907528123
1349,17.365833093128344,25.707150126397277,21.46205433755828
1350,13.23168406449829,23.39499766942987,20.90006025864
