timestamp,igpm,voltage,current,power_factor,discard
2023-04-07 19:00:51.982383,31.79,122.88,0.27772,0.9316,0
2023-04-07 19:00:52.232973,30.2,122.91,0.27573,0.8583,0
2023-04-07 19:00:52.483531,29.84474885844749,122.85,0.29331,0.8165,0
2023-04-07 19:00:52.734108,30.363205684958547,122.9,0.27282,0.9293,0
2023-04-07 19:00:52.984672,29.563304604954745,122.88,0.25446,0.9001,0
2023-04-07 19:00:53.235228,32.13564669842274,122.85,0.33661,0.8979,0
2023-04-07 19:00:53.485802,31.487799703088022,122.88,0.2712,0.9049,0
2023-04-07 19:00:53.736348,33.117827660129414,122.84,0.31507,0.9459,0
2023-04-07 19:00:53.986919,31.69454476342725,122.9,0.25175,0.9232,0
2023-04-07 19:00:54.237506,30.76728864407911,122.91,0.25443,0.9175,0
2023-04-07 19:00:54.488100,32.104033871727445,122.84,0.30455,0.9391,0
2023-04-07 19:00:54.738679,33.00418293187442,122.86,0.30218,0.9444,0
2023-04-07 19:00:54.989222,33.62756796823969,122.81,0.30191,0.9457,0
2023-04-07 19:00:55.239782,33.466706578708674,122.86,0.28887,0.9325,0
2023-04-07 19:00:55.490348,32.15496704095556,122.92,0.2669,0.8874,0
2023-04-07 19:00:55.740908,29.72921544523292,122.96,0.22178,0.8836,0
2023-04-07 19:00:55.991470,28.215729982652324,122.95,0.22947,0.8753,0
2023-04-07 19:00:56.242038,27.729919888092645,122.9,0.24323,0.8898,0
2023-04-07 19:00:56.492579,30.38346867411296,122.85,0.3181,0.9357,0
2023-04-07 19:00:56.743161,30.614812666493535,122.87,0.27516,0.9214,0
2023-04-07 19:00:56.993712,30.582450790953736,122.88,0.27395,0.9063,0
2023-04-07 19:00:57.244291,32.17353764015293,122.83,0.31653,0.9229,0
2023-04-07 19:00:57.494853,33.254572213728146,122.85,0.30864,0.9436,0
2023-04-07 19:00:57.745401,33.56375978414517,122.85,0.29428,0.9483,0
2023-04-07 19:00:57.995940,35.47118764806687,122.82,0.34041,0.9549,0
2023-04-07 19:00:58.246529,35.39132385644908,122.84,0.30508,0.9394,0
2023-04-07 19:00:58.497085,35.26461837339774,122.87,0.30777,0.9247,0
2023-04-07 19:00:58.747649,34.82881281490947,122.85,0.29164,0.9437,0
2023-04-07 19:00:58.998208,34.86066999620784,122.86,0.30374,0.9361,0
2023-04-07 19:00:59.248757,35.1802762010585,122.85,0.31483,0.9289,0
2023-04-07 19:00:59.499300,36.2386100386435,122.82,0.33058,0.9533,0
2023-04-07 19:00:59.749889,34.766610769883165,122.9,0.28208,0.9038,0
2023-04-07 19:01:00.000470,34.94282890125948,122.8,0.30724,0.937,0
2023-04-07 19:01:00.251034,33.30247135376591,122.89,0.25978,0.9233,0
2023-04-07 19:01:00.501579,33.82553192908737,122.84,0.3066,0.9305,0
2023-04-07 19:01:00.752139,33.9924727930434,122.86,0.29682,0.9428,0
2023-04-07 19:01:01.002682,36.06803480781265,122.8,0.347,0.9601,0
2023-04-07 19:01:01.253234,36.588825042156664,122.84,0.32605,0.9439,0
2023-04-07 19:01:01.503810,37.70457854433621,122.82,0.34306,0.9566,0
2023-04-07 19:01:01.754391,38.40610542768388,122.81,0.34019,0.9584,0
2023-04-07 19:01:02.004948,38.49067383706886,122.8,0.33035,0.9537,0
2023-04-07 19:01:02.255516,37.77737146341678,122.81,0.31491,0.9337,0
2023-04-07 19:01:02.506091,37.33775992838875,122.78,0.31365,0.9429,0
2023-04-07 19:01:02.756651,37.79293201945292,122.78,0.33254,0.9517,0
