seconds,perf_rapl,energy_ram,retired_instructions,igpm,voltage,current,power_factor,discard,rapl_uj,rapl_uj_diff,minute,second,rapl_pw,load_avg_1minute,cpu_pct,hw_cpu_hz_mean,hw_cpu_hz_max,hw_cpu_hz_min,hw_cpu_hz_std,hw_cpu0_hz,hw_cpu1_hz,hw_cpu2_hz,hw_cpu3_hz,hw_cpu4_hz,hw_cpu5_hz,hw_cpu6_hz,hw_cpu7_hz,hw_cpu8_hz,hw_cpu9_hz,hw_cpu10_hz,hw_cpu11_hz,kern_cpu_hz_mean,kern_cpu_hz_max,kern_cpu_hz_min,kern_cpu_hz_std,kern_cpu0_hz,kern_cpu1_hz,kern_cpu2_hz,kern_cpu3_hz,kern_cpu4_hz,kern_cpu5_hz,kern_cpu6_hz,kern_cpu7_hz,kern_cpu8_hz,kern_cpu9_hz,kern_cpu10_hz,kern_cpu11_hz,cpu_pct_process,x_rest
68456,14.15,,,28.215729982652324,122.95,0.22947,0.8753,0.0,5568069528.0,18240.0,0.18335086666666667,11.0,10.316064,1.08,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2213250.25,987421.0,3968383.0,1081671.4093177838,1553120.0,987421.0,1712895.0,1465307.0,3968383.0,3382498.0,1440107.0,3918319.0,1052050.0,3486780.0,1693703.0,1898420.0,4.0,14.065729982652323
68457,17.32,,,30.582450790953736,122.88,0.27395,0.9063,0.0,5580809916.0,15312.0,0.20000991666666668,12.0,12.740388,1.08,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2213250.25,987421.0,3968383.0,1081671.4093177838,1553120.0,987421.0,1712895.0,1465307.0,3968383.0,3382498.0,1440107.0,3918319.0,1052050.0,3486780.0,1693703.0,1898420.0,4.0,13.262450790953736
68458,19.32,,,35.47118764806687,122.82,0.34041,0.9549,0.0,5595090828.0,14676.0,0.21667896666666667,13.0,14.280912,1.07,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1781932.0833333333,981640.0,3258759.0,809916.9921865921,1031921.0,2707578.0,3193922.0,1467954.0,1003651.0,1648478.0,1312528.0,981640.0,1404422.0,1169572.0,3258759.0,2202760.0,4.0,16.151187648066873
68459,19.49,,,34.86066999620784,122.86,0.30374,0.9361,0.0,5609281836.0,20340.0,0.23333391666666667,14.0,14.191008,1.07,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1781932.0833333333,981640.0,3258759.0,809916.9921865921,1031921.0,2707578.0,3193922.0,1467954.0,1003651.0,1648478.0,1312528.0,981640.0,1404422.0,1169572.0,3258759.0,2202760.0,4.0,15.370669996207841
68460,16.94,,,34.94282890125948,122.8,0.30724,0.937,0.0,5621794680.0,15036.0,0.25001796666666665,15.0,12.512844,1.07,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2217703.833333333,907927.0,4013537.0,1101398.6004012378,3442470.0,907927.0,4013537.0,1469094.0,1918369.0,3961755.0,1902562.0,990096.0,1421648.0,1525189.0,1660969.0,3398830.0,4.1,18.00282890125948
68461,21.28,,,36.06803480781265,122.8,0.347,0.9601,0.0,5637371256.0,17916.0,0.26667654999999996,16.0,15.576576,1.07,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2217703.833333333,907927.0,4013537.0,1101398.6004012378,3442470.0,907927.0,4013537.0,1469094.0,1918369.0,3961755.0,1902562.0,990096.0,1421648.0,1525189.0,1660969.0,3398830.0,4.1,14.78803480781265
68462,20.53,,,38.49067383706886,122.8,0.33035,0.9537,0.0,5652612024.0,11052.0,0.28333708333333335,17.0,15.240768,1.06,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2524771.1666666665,904258.0,4030372.0,1182405.7996422544,2788504.0,1860430.0,1163123.0,988404.0,1913834.0,904258.0,1761117.0,3885416.0,3926735.0,4030372.0,3946223.0,3128838.0,4.1,17.96067383706886
68463,19.7,,,36.78855230614148,122.81,0.30127,0.931,0.0,5667082008.0,13464.0,0.30000781666666665,18.0,14.469984,1.06,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2524771.1666666665,904258.0,4030372.0,1182405.7996422544,2788504.0,1860430.0,1163123.0,988404.0,1913834.0,904258.0,1761117.0,3885416.0,3926735.0,4030372.0,3946223.0,3128838.0,4.1,17.088552306141484
68464,18.88,,,35.1604699668753,122.86,0.31276,0.917,0.0,5680789620.0,15492.0,0.31667538333333334,19.0,13.707612,1.06,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2092078.0,818419.0,4016300.0,787044.6532261263,2073600.0,2153352.0,4016300.0,1828635.0,1925328.0,2087466.0,818419.0,850729.0,1947121.0,2527186.0,2349091.0,2527709.0,4.1,16.280469966875298
68465,19.84,,,35.52154594127415,122.86,0.33252,0.9441,0.0,5695402476.0,13872.0,0.33333963333333333,20.0,14.612856,1.06,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2092078.0,818419.0,4016300.0,787044.6532261263,2073600.0,2153352.0,4016300.0,1828635.0,1925328.0,2087466.0,818419.0,850729.0,1947121.0,2527186.0,2349091.0,2527709.0,4.1,15.681545941274148
68466,17.76,,,37.40579528329071,122.84,0.32994,0.9391,0.0,5708545032.0,18492.0,0.3500167,21.0,13.142556,1.06,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2537819.833333333,1072799.0,4002881.0,1179195.501847752,1072799.0,4002881.0,3706038.0,2041355.0,1254832.0,1360662.0,1650958.0,1082484.0,3992694.0,3051317.0,3365934.0,3871884.0,4.1,19.645795283290706
68467,21.26,,,36.368374147149176,122.81,0.33622,0.9515,0.0,5724052596.0,20124.0,0.36668276666666666,22.0,15.507564,1.06,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2537819.833333333,1072799.0,4002881.0,1179195.501847752,1072799.0,4002881.0,3706038.0,2041355.0,1254832.0,1360662.0,1650958.0,1082484.0,3992694.0,3051317.0,3365934.0,3871884.0,4.1,15.108374147149174
68468,19.96,,,36.12317313270959,122.85,0.31161,0.9363,0.0,5738799384.0,33720.0,0.3833474666666667,23.0,14.746788,1.06,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2592865.583333333,1165730.0,4020262.0,1125100.178733762,3874131.0,1499369.0,1837118.0,3941792.0,1165730.0,1322037.0,2277013.0,4020262.0,3970373.0,1210286.0,3131523.0,2864753.0,4.1,16.163173132709588
68469,20.03,,,38.31060166920842,122.8,0.34378,0.9594,0.0,5753453496.0,20160.0,0.4000174,24.0,14.654112,1.06,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2592865.583333333,1165730.0,4020262.0,1125100.178733762,3874131.0,1499369.0,1837118.0,3941792.0,1165730.0,1322037.0,2277013.0,4020262.0,3970373.0,1210286.0,3131523.0,2864753.0,4.1,18.280601669208416
68470,21.62,,,38.31120856077694,122.84,0.34154,0.9594,0.0,5769338580.0,11592.0,0.4166721666666667,25.0,15.885084,1.06,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1892328.8333333333,895622.0,4035555.0,1133525.4696128971,1508009.0,4021211.0,1155499.0,1236586.0,992586.0,1246789.0,982498.0,895622.0,1660514.0,1660403.0,4035555.0,3312674.0,4.1,16.69120856077694
68471,19.3,,,37.367364675441415,122.87,0.29837,0.9432,0.0,5783718540.0,14088.0,0.43333906666666666,26.0,14.37996,1.06,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1892328.8333333333,895622.0,4035555.0,1133525.4696128971,1508009.0,4021211.0,1155499.0,1236586.0,992586.0,1246789.0,982498.0,895622.0,1660514.0,1660403.0,4035555.0,3312674.0,4.1,18.067364675441414
68472,17.83,,,37.174101758573435,122.62,0.33155,0.9574,0.0,5796915960.0,6864.0,0.4500136,27.0,13.19742,0.97,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2041850.5833333333,917081.0,3955925.0,1122180.276052639,917081.0,3955925.0,3234638.0,1208447.0,1780666.0,958539.0,1386229.0,2258064.0,946067.0,3454304.0,956033.0,3446214.0,4.1,19.344101758573437
68473,18.45,,,32.326527832233154,122.74,0.31984,0.9171,0.0,5810179656.0,13968.0,0.46668421666666665,28.0,13.263696,0.97,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2041850.5833333333,917081.0,3955925.0,1122180.276052639,917081.0,3955925.0,3234638.0,1208447.0,1780666.0,958539.0,1386229.0,2258064.0,946067.0,3454304.0,956033.0,3446214.0,4.2,13.876527832233155
68474,18.14,,,36.45795383251925,122.87,0.31376,0.9492,0.0,5823578640.0,17460.0,0.48333345,29.0,13.398984,0.97,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2096540.6666666667,825220.0,3809020.0,1015389.2429235642,1687880.0,2947306.0,1653126.0,3429073.0,3028170.0,3809020.0,878929.0,825220.0,1731523.0,2874148.0,1332488.0,961605.0,4.1,18.31795383251925
68475,16.1,,,32.43671331518785,122.87,0.28398,0.9321,0.0,5835323364.0,17832.0,0.5000019,30.0,11.744724,0.97,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2096540.6666666667,825220.0,3809020.0,1015389.2429235642,1687880.0,2947306.0,1653126.0,3429073.0,3028170.0,3809020.0,878929.0,825220.0,1731523.0,2874148.0,1332488.0,961605.0,4.2,16.33671331518785
68476,19.74,,,33.683963366976606,122.84,0.30397,0.9411,0.0,5849855484.0,15084.0,0.5166734833333334,31.0,14.53212,0.97,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2093384.5833333333,880614.0,4020195.0,1015619.1491863028,880614.0,1796502.0,1034748.0,1734791.0,2489245.0,3763554.0,1024290.0,1870040.0,2327370.0,4020195.0,3001538.0,1177728.0,4.2,13.943963366976607
68477,17.78,,,37.48365590441109,122.79,0.3327,0.9558,0.0,5863082544.0,17064.0,0.5333404666666667,32.0,13.22706,0.97,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2093384.5833333333,880614.0,4020195.0,1015619.1491863028,880614.0,1796502.0,1034748.0,1734791.0,2489245.0,3763554.0,1024290.0,1870040.0,2327370.0,4020195.0,3001538.0,1177728.0,4.2,19.703655904411086
68478,17.17,,,33.288326182649094,122.82,0.30398,0.937,0.0,5875574724.0,12444.0,0.5500177833333333,33.0,12.49218,0.97,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2348943.583333333,1054990.0,4066647.0,1095509.7587495102,1453910.0,3907162.0,1843838.0,4066647.0,2237700.0,3759532.0,1156546.0,1054990.0,1538659.0,1228694.0,2664725.0,3274920.0,4.2,16.118326182649092
68479,19.61,,,36.123978016454046,122.78,0.35848,0.8587,0.0,5890219944.0,8088.0,0.5666761333333333,34.0,14.64522,0.97,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2348943.583333333,1054990.0,4066647.0,1095509.7587495102,1453910.0,3907162.0,1843838.0,4066647.0,2237700.0,3759532.0,1156546.0,1054990.0,1538659.0,1228694.0,2664725.0,3274920.0,4.1,16.513978016454047
68480,15.2,,,32.34015442175061,122.88,0.2435,0.9228,0.0,5901373980.0,9696.0,0.5833453666666667,35.0,11.154036,0.97,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1603665.75,901500.0,2607322.0,567326.8264398874,1207106.0,2149497.0,1688682.0,2607322.0,1668684.0,2607128.0,901500.0,996551.0,957371.0,1660099.0,1310689.0,1489360.0,4.2,17.140154421750612
68481,14.79,,,30.93399647666232,122.9,0.26337,0.9269,0.0,5912314284.0,17688.0,0.6000151166666666,36.0,10.940304,0.97,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1603665.75,901500.0,2607322.0,567326.8264398874,1207106.0,2149497.0,1688682.0,2607322.0,1668684.0,2607128.0,901500.0,996551.0,957371.0,1660099.0,1310689.0,1489360.0,4.2,16.14399647666232
68482,12.94,,,27.367936054046623,122.81,0.24927,0.8244,0.0,5921711208.0,11844.0,0.616667,37.0,9.396924,0.98,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1670558.0833333333,800000.0,3195451.0,829547.1184219996,1357544.0,2915417.0,1272855.0,800000.0,1304670.0,1040504.0,1178030.0,1438065.0,1397831.0,1038093.0,3195451.0,3108237.0,4.2,14.427936054046624
68483,18.17,,,31.6336099465766,122.74,0.34183,0.9573,0.0,5935063536.0,15312.0,0.6333488166666666,38.0,13.352328,0.98,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1670558.0833333333,800000.0,3195451.0,829547.1184219996,1357544.0,2915417.0,1272855.0,800000.0,1304670.0,1040504.0,1178030.0,1438065.0,1397831.0,1038093.0,3195451.0,3108237.0,4.2,13.463609946576597
68484,15.25,,,33.25273004817304,122.8,0.28884,0.9252,0.0,5946156180.0,8172.0,0.6500105333333334,39.0,11.092644,0.98,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2057062.75,950661.0,3515407.0,764819.8137388446,3515407.0,1577765.0,2215807.0,3050774.0,2749391.0,1479006.0,950661.0,963102.0,2079761.0,1517769.0,2374913.0,2210397.0,4.2,18.002730048173042
68485,19.05,,,31.67376578456635,122.76,0.30368,0.9424,0.0,5960057904.0,17916.0,0.6666835166666666,40.0,13.901724,0.98,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2057062.75,950661.0,3515407.0,764819.8137388446,3515407.0,1577765.0,2215807.0,3050774.0,2749391.0,1479006.0,950661.0,963102.0,2079761.0,1517769.0,2374913.0,2210397.0,4.2,12.623765784566348
68486,15.12,,,33.38161606487438,122.85,0.274,0.9118,0.0,5971385520.0,18816.0,0.6833517,41.0,11.327616,0.98,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1809532.3333333333,850842.0,4037834.0,1025859.2384109312,3035058.0,1390955.0,1642615.0,3339222.0,850842.0,1475258.0,891022.0,901317.0,1776061.0,4037834.0,1454575.0,919629.0,4.2,18.26161606487438
68487,18.97,,,33.503007017176344,122.73,0.3065,0.9417,0.0,5985281952.0,8124.0,0.7000112666666667,42.0,13.896432,0.98,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1809532.3333333333,850842.0,4037834.0,1025859.2384109312,3035058.0,1390955.0,1642615.0,3339222.0,850842.0,1475258.0,891022.0,901317.0,1776061.0,4037834.0,1454575.0,919629.0,4.2,14.533007017176345
68488,19.35,,,35.41969568482404,122.83,0.31776,0.944,0.0,5999454996.0,20160.0,0.7166687833333333,43.0,14.173044,0.98,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2664875.6666666665,880141.0,4034112.0,1137412.2304028806,3955053.0,3974194.0,3924619.0,4034112.0,1658563.0,2993065.0,1725918.0,880141.0,2063270.0,3562172.0,1407108.0,1800293.0,4.2,16.06969568482404
68489,19.4,,,36.50048283392625,122.81,0.32461,0.9442,0.0,6013759884.0,11088.0,0.7333466000000001,44.0,14.304888,0.98,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2664875.6666666665,880141.0,4034112.0,1137412.2304028806,3955053.0,3974194.0,3924619.0,4034112.0,1658563.0,2993065.0,1725918.0,880141.0,2063270.0,3562172.0,1407108.0,1800293.0,4.2,17.10048283392625
68490,19.6,,,35.11987862842569,122.82,0.3096,0.9317,0.0,6027945372.0,16932.0,0.7500081666666667,45.0,14.185488,0.98,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2804023.9166666665,958391.0,4042808.0,1201526.166166004,3163659.0,2100746.0,4042808.0,4015546.0,1323427.0,958391.0,3968838.0,4012265.0,3200337.0,3979717.0,1320805.0,1561748.0,4.2,15.519878628425687
68491,16.34,,,34.10013945868501,122.9,0.23556,0.9143,0.0,6040135824.0,10332.0,0.7666785333333334,46.0,12.190452,0.98,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2804023.9166666665,958391.0,4042808.0,1201526.166166004,3163659.0,2100746.0,4042808.0,4015546.0,1323427.0,958391.0,3968838.0,4012265.0,3200337.0,3979717.0,1320805.0,1561748.0,4.2,17.760139458685007
68492,18.67,,,32.29367408403027,122.87,0.27728,0.9334,0.0,6053869620.0,15180.0,0.7833348,47.0,13.733796,0.98,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2512176.333333333,946535.0,3943267.0,1217403.796284011,1514092.0,3413410.0,1165761.0,3943267.0,1605170.0,946535.0,1724044.0,3900886.0,1048795.0,3940180.0,3838661.0,3105315.0,4.2,13.62367408403027
