seconds,perf_rapl,energy_ram,retired_instructions,ipmi,rapl_uj,rapl_uj_diff,minute,second,rapl_pw,load_avg_1minute,cpu_pct,cpu_pct_process,x_rest
2632,19.91,8.58,130829938.0,101.0,271694711152.0,29123292.0,0.7682146666666667,46.0,28.622837,2.37,0.0,2.6,81.09
2633,19.63,7.87,128018918.0,92.0,271723834444.0,28670108.0,0.78489345,47.0,29.123292,2.37,0.0,2.5,72.37
2634,19.77,7.75,129756120.0,95.0,271752504552.0,28764195.0,0.8015710833333334,48.0,28.670108,2.37,0.0,2.5,75.23
2635,19.63,7.29,127109117.0,95.0,271781268747.0,28793961.0,0.8182498500000001,49.0,28.764195,2.26,0.0,2.5,75.37
2636,19.84,8.16,129587598.0,98.0,271810062708.0,29017692.0,0.8349291666666667,50.0,28.793961,2.26,0.0,2.5,78.16
2637,19.73,7.66,128399267.0,98.0,271839080400.0,28890822.0,0.8516084166666666,51.0,29.017692,2.26,0.0,2.5,78.27
2638,19.77,8.3,137916296.0,96.0,271867971222.0,28854207.0,0.8682887166666667,52.0,28.890822,2.26,0.0,2.5,76.23
2639,19.53,7.47,127167106.0,96.0,271896825429.0,28699033.0,0.8849678999999999,53.0,28.854207,2.26,0.0,2.5,76.47
2640,19.81,7.64,133543003.0,94.0,271925524462.0,28806185.0,0.9016462666666667,54.0,28.699033,2.26,0.0,2.5,74.19
2641,19.53,7.69,127461874.0,88.0,271954330647.0,28624761.0,0.9183227166666666,55.0,28.806185,2.16,0.0,2.4,68.47
2642,19.63,7.22,129150812.0,89.0,271982955408.0,28600178.0,0.9350027999999999,56.0,28.624761,2.16,0.0,2.4,69.37
2643,19.65,7.8,128126181.0,94.0,272011555586.0,28852813.0,0.9516812833333332,57.0,28.600178,2.16,0.0,2.4,74.35
2644,19.63,7.76,128904118.0,99.0,272040408399.0,28664289.0,0.9683618500000001,58.0,28.852813,2.16,0.0,2.4,79.37
2645,19.78,8.28,128751076.0,103.0,272069072688.0,28902894.0,0.9850413166666667,59.0,28.664289,2.07,0.0,2.4,83.22
2646,19.52,7.06,128227852.0,106.0,272097975582.0,28490468.0,1.0017218166666668,60.0,28.902894,2.07,0.0,2.4,86.48
2647,19.74,7.97,129533673.0,101.0,272126466050.0,28949970.0,1.0184004833333333,61.0,28.490468,2.07,0.0,2.4,81.26
2648,19.69,8.02,138570874.0,93.0,272155416020.0,28744159.0,1.0350818166666667,62.0,28.94997,2.07,0.0,2.4,73.31
2649,19.47,7.21,126787923.0,94.0,272184160179.0,28471669.0,1.0517607833333333,63.0,28.744159,2.07,0.0,2.4,74.53
2650,19.45,7.69,128214103.0,94.0,272212631848.0,28416780.0,1.0684417333333334,64.0,28.471669,2.07,0.0,2.4,74.55
2651,19.35,7.1,126844451.0,92.0,272241048628.0,28406724.0,1.0851192500000002,65.0,28.41678,1.98,0.0,2.3,72.65
2652,19.67,7.63,129843232.0,88.0,272269455352.0,28631765.0,1.1017969666666665,66.0,28.406724,1.98,0.0,2.3,68.33
2653,19.63,7.5,127604294.0,91.0,272298087117.0,28813699.0,1.1184776333333335,67.0,28.631765,1.98,0.0,2.3,71.37
2654,19.99,8.21,293491378.0,93.0,272326900816.0,29164184.0,1.1351568333333333,68.0,28.813699,1.98,0.0,2.3,73.01
2655,19.6,7.86,127634722.0,98.0,272356065000.0,28720588.0,1.1518360166666668,69.0,29.164184,1.9,0.0,2.3,78.4
2656,21.59,11.12,562706420.0,101.0,272384785588.0,32500722.0,1.1685150833333333,70.0,28.720588,1.9,0.0,2.3,79.41
2657,25.15,18.89,405652043.0,94.0,272417286310.0,36315628.0,1.1851891166666666,71.0,32.500722,1.9,0.0,2.3,68.85
2658,24.75,18.86,351687654.0,98.0,272453601938.0,36398807.0,1.2018700333333332,72.0,36.315628,1.9,0.0,2.3,73.25
2659,24.06,17.44,422423782.0,127.0,272490000745.0,34966343.0,1.2185493166666668,73.0,36.398807,1.9,2.0,2.3,102.94
2660,39.85,25.1,2374356108.0,132.0,272524967088.0,62048592.0,1.23522875,74.0,34.966343,1.9,2.0,2.4,92.15
2661,57.29,31.54,6116975608.0,128.0,272587015680.0,84442080.0,1.2519029833333333,75.0,62.048592,2.15,20.0,2.5,70.71000000000001
2662,68.42,34.32,9900146472.0,174.0,272671457760.0,100967976.0,1.2685776500000001,76.0,84.44208,2.15,20.0,2.6,105.58
2663,70.54,35.65,11106424043.0,209.0,272772425736.0,105032640.0,1.2852497,77.0,100.967976,2.15,27.0,2.7,138.45999999999998
2664,72.6,34.64,15723417580.0,212.0,272877458376.0,106144632.0,1.3019214166666666,78.0,105.03264,2.15,27.0,2.8,139.4
2665,70.79,34.01,15307727048.0,214.0,272983603008.0,104343579.0,1.3185871333333334,79.0,106.144632,2.54,22.0,2.8,143.20999999999998
2666,79.97,34.88,23993709882.0,220.0,273087946587.0,116554129.0,1.3352637166666668,80.0,104.343579,2.54,22.0,2.9,140.03
2667,83.65,34.18,35111604946.0,215.0,273204500716.0,126388172.0,1.3519561333333334,81.0,116.554129,2.54,37.0,3.0,131.35
2668,106.62,35.51,60505893223.0,224.0,273330888888.0,157347168.0,1.3686271666666667,82.0,126.388172,2.54,37.0,3.1,117.38
2669,98.59,35.19,53497319961.0,229.0,273488236056.0,143579928.0,1.3852957166666668,83.0,157.347168,2.54,47.0,3.1,130.41
2670,94.57,35.13,47266175219.0,256.0,273631815984.0,139825253.0,1.4019616833333333,84.0,143.579928,2.54,47.0,3.2,161.43
2671,100.82,36.27,49611107786.0,235.0,273771641237.0,147673142.0,1.4186475333333335,85.0,139.825253,3.06,40.0,3.3,134.18
2672,94.85,33.69,47350917028.0,243.0,273919314379.0,139109357.0,1.4353104833333332,86.0,147.673142,3.06,40.0,3.3,148.15
