minutes,image_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1,cp
1189,1.5579636666666663,1.5672563833333342,1.2891502166666666,1.483322566666666,0.0
1191,0.6442228166666669,0.7828546666666666,0.6460836666666665,0.8276841166666666,0.0
1192,0.7184323833333334,0.9766905,0.6908381499999999,1.0387813666666665,0.0
1193,0.7939999666666665,0.6384759166666666,0.68240675,0.8781202666666669,0.0
1194,0.8680651166666669,0.66927005,0.8595589666666666,1.5252156166666666,0.0
1195,1.3288968666666667,0.9474230333333334,1.21143435,1.9011273499999997,0.0
1196,0.7793309666666667,0.761097,0.9277614166666669,1.593485433333334,0.0
1197,0.5966313999999999,0.8323530166666663,0.6264664666666666,1.7941153333333335,0.0
1198,0.8529042,0.62312495,0.7225482166666666,1.4255385500000004,0.0
1199,0.9918906333333333,0.6733117666666668,0.8313607333333335,2.2864378333333333,0.0
1200,0.8407939666666665,0.8728872999999997,0.5935768666666668,2.098225316666666,0.0
1201,1.0770855833333333,1.0459547666666666,1.6408921333333342,2.1871798166666663,0.0
1202,1.0657423500000003,1.2506507333333332,0.9176622500000001,2.687369,0.0
1203,0.6031335333333333,0.59718125,1.1029392333333334,2.3393324166666667,0.0
1204,0.0,0.0,0.36233675,0.22771183333333334,0.0
