minutes,image_processing-0-0.0.1,dd-0-0.0.1,cnn_image_classification_gpu-0-0.0.1
1079,2.0166666666666666,1.25,0.11666666666666667
1080,1.7166666666666666,1.1666666666666667,0.48333333333333334
1081,1.75,1.1,0.4666666666666667
1082,1.6833333333333333,1.0166666666666666,0.8
1083,1.8666666666666667,1.25,0.6166666666666667
1084,1.3333333333333333,0.8166666666666667,0.7
1085,1.6666666666666667,0.9833333333333333,0.25
1086,1.8,1.0,0.4
1087,1.4666666666666666,1.0833333333333333,0.6333333333333333
1088,2.066666666666667,1.1166666666666667,1.0
1089,1.5833333333333333,1.0333333333333334,0.9333333333333333
