minutes,image_processing-0-0.0.1,dd-0-0.0.1,cnn_image_classification_gpu-0-0.0.1
1079,18.41612757000409,8.243301301728057,14.807804740733143
1080,17.19705909713665,7.507480381796327,14.28160408216995
1081,16.28098133569721,6.945878413044685,18.765151039069227
1082,16.04885274854249,7.008341548814024,28.810692770089002
1083,17.242649471276785,6.668629266415932,27.815014376674846
1084,16.394023744626015,7.240945350739859,36.72832961549285
1085,15.462594445590335,7.513565066585623,48.108795779300436
1086,15.383658730572302,6.94466792847755,54.80842690216805
1087,13.942947728797368,7.550054100457307,54.58769750349238
1088,13.67485475475543,6.962388223616383,56.679547534510135
1089,11.941302754820724,5.93460963135045,78.57542397726434
