minutes,image_processing-0-0.0.1,dd-0-0.0.1,cnn_image_classification_gpu-0-0.0.1
1079,1.4676927833333335,0.7357906000000002,0.09039966666666667
1080,1.2854306666666668,0.6744774666666667,0.37794188333333334
1081,1.272091433333333,0.59171775,0.3903559833333333
1082,1.18257035,0.59728985,0.6811079333333334
1083,1.4052229500000002,0.7120700000000001,0.5002664166666667
1084,0.9863667999999998,0.44168669999999993,0.6043147
1085,1.247914516666667,0.5579199666666667,0.21431465000000002
1086,1.3250014833333335,0.5366272833333334,0.34133040000000003
1087,1.0824605666666665,0.6089462833333333,0.5469141166666667
1088,1.4931785333333327,0.6591522333333335,0.8862044166666665
1089,1.1304716166666668,0.5480870666666667,0.8408110833333334
