,image_processing-0-0.0.1,dd-0-0.0.1,cnn_image_classification_gpu-0-0.0.1
0,88.06156700000001,44.14743600000001,5.42398
1,77.12584000000001,40.468648,22.676513
2,76.32548599999998,35.503065,23.421359
3,70.954221,35.837391000000004,40.866476000000006
4,84.31337700000002,42.7242,30.015985
5,59.18200799999999,26.501201999999996,36.258882
6,74.87487100000001,33.475198,12.858879000000002
7,79.500089,32.19763700000001,20.479824
8,64.947634,36.536777,32.814847
9,89.59071199999997,39.54913400000001,53.17226499999999
10,67.828297,32.885224,50.448665000000005
