minutes,image_processing-0-0.0.1,dd-0-0.0.1,cnn_image_classification_gpu-0-0.0.1
1079,5.935411972645594,2.732647737477802,7.008301886367911
1080,5.4895794423979565,2.5470915428138357,6.467000579714628
1081,5.132508082291438,2.4193244713284385,8.450692273147823
1082,5.123663003942874,2.516508022063409,11.60377905379065
1083,5.468258993905342,2.4651141179312557,11.546733747985076
1084,5.276738065266205,2.563650682462209,13.789252995598137
1085,4.98369853319252,2.579997619314595,17.432348455211226
1086,4.953945594179954,2.373772282928998,20.16418305341416
1087,4.520258521271729,2.569432164391059,19.815904023228185
1088,4.589976919303132,2.519349179475838,20.32303214478024
1089,4.182195653758344,2.2339015226168324,27.54493598416627
