,image_processing-0-0.0.1,dd-0-0.0.1,pyaes-0-0.0.1
0,34.728345,35.695397,49.21125599999999
1,53.942691,29.583953999999995,38.674333
2,40.72733399999999,33.106916000000005,36.068896
3,43.391772,41.61201800000001,31.036938000000003
4,51.32912300000001,42.554898,34.87334799999999
5,31.88702,37.43307700000001,43.350796
6,35.460536,34.985181,25.811991
7,34.97460100000001,39.78118200000001,41.734013000000004
8,42.496989,31.583595,45.276659
9,36.885942,37.034755999999994,44.673421
10,43.734747000000006,34.06112300000001,36.65632
