minutes,image_processing-0-0.0.1,dd-0-0.0.1,pyaes-0-0.0.1
1325,4.652882096597569,5.115013610425423,5.470526394224153
1326,5.030629350502879,4.852432547029932,5.318083647999274
1327,5.488896416892733,4.910134803174268,4.955685287446982
1328,5.468022655531316,4.720780432067829,5.555282116612572
1329,5.682034534470805,4.772942861934242,5.046642642717238
1330,6.3645161934138725,4.253193365241796,5.2613187984590795
1331,7.471663255498285,4.185903304223853,5.399964913063989
1332,5.9234461950702935,4.131943992752568,5.67157070960385
1333,5.634493189585158,4.095170095638108,6.691847532278751
1334,5.530994824205099,4.312993061551854,5.7274999881364455
1335,5.89389219058656,4.5368818361893,5.013576203270198
