timestamp,sensor,target,socket,cpu,INSTRUCTION_RETIRED,UNHALTED_CORE_CYCLES,time_enabled,time_running
1681412686173,sensor,all,0,13,6790,53844,1648001,1648001
1681412686173,sensor,all,0,12,10237,61193,1602604,1602604
1681412686173,sensor,all,0,15,10150,75855,1544145,1544145
1681412686173,sensor,all,0,14,10159,55207,1545023,1545023
1681412686173,sensor,all,0,17,25863,127896,1497183,1497183
1681412686173,sensor,all,0,0,10286,53921,1446389,1446389
1681412686173,sensor,all,0,16,36255,120978,1445429,1445429
1681412686173,sensor,all,0,1,10186,47781,1429527,1429527
1681412686173,sensor,all,0,19,173458,1431183,1439610,1439610
1681412686173,sensor,all,0,2,10096,52691,1378397,1378397
1681412686173,sensor,all,0,18,3331,30910,1383807,1383807
1681412686173,sensor,all,0,3,3510,32055,1433051,1433051
1681412686173,sensor,all,0,22,3464,32761,1421373,1421373
1681412686173,sensor,all,0,4,10127,33530,1372592,1372592
1681412686173,sensor,all,0,5,3430,31996,1392004,1392004
1681412686173,sensor,all,0,23,10341,34587,1353993,1353993
1681412686173,sensor,all,0,20,324522,1396901,1405784,1405784
1681412686173,sensor,all,0,6,10124,50016,1402813,1402813
1681412686173,sensor,all,0,7,3395,31377,1422046,1422046
1681412686173,sensor,all,0,21,3421,31428,1417253,1417253
1681412686173,sensor,all,0,8,3496,33281,1472202,1472202
1681412686173,sensor,all,0,9,3430,31146,1471952,1471952
1681412686173,sensor,all,0,11,3380,32590,1491467,1491467
1681412686173,sensor,all,0,10,3456,32412,1540538,1540538
1681412687174,sensor,all,0,13,1262371,2610418,966724184,966724184
1681412687174,sensor,all,0,12,171551014,69278532,966723201,966723201
1681412687174,sensor,all,0,15,101871398,95576812,966673127,966673127
1681412687174,sensor,all,0,14,149672020,140957344,966665372,966665372
1681412687174,sensor,all,0,17,1454215,6889057,966668725,966668725
1681412687174,sensor,all,0,0,9426825,13996160,966666601,966666601
1681412687174,sensor,all,0,16,3155029,10183237,966717702,966717702
1681412687174,sensor,all,0,1,754551,2099476,966703141,966703141
1681412687174,sensor,all,0,19,644233,2747442,966716586,966716586
1681412687174,sensor,all,0,2,579574,2129710,966705762,966705762
1681412687174,sensor,all,0,18,347219,561215,966704538,966704538
1681412687174,sensor,all,0,3,1361949,3286595,966754015,966754015
1681412687174,sensor,all,0,22,98690,370423,966754779,966754779
1681412687174,sensor,all,0,4,6994000,13708085,966710059,966710059
1681412687174,sensor,all,0,5,20949218,29682298,966755353,966755353
1681412687174,sensor,all,0,23,3020860,5821867,966735368,966735368
1681412687174,sensor,all,0,20,516745,2448265,966761357,966761357
1681412687174,sensor,all,0,6,5618033,9919318,966757022,966757022
1681412687174,sensor,all,0,7,4430232,8816800,966793611,966793611
