timestamp,sensor,target,socket,cpu,RAPL_ENERGY_PKG,time_enabled,time_running
1695243526238,sensor,all,0,21,243007488,1648976,1648976
1695243527238,sensor,all,0,21,88418549760,979550784,979550784
1695243528239,sensor,all,0,21,96572801024,1980142210,1980142210
1695243529239,sensor,all,0,21,158408900608,2980606866,2980606866
1695243530239,sensor,all,0,21,118845341696,3980670376,3980670376
1695243531240,sensor,all,0,21,139056644096,4981185826,4981185826
1695243532240,sensor,all,0,21,168650080256,5981283622,5981283622
1695243533240,sensor,all,0,21,85868675072,6981788920,6981788920
1695243534241,sensor,all,0,21,173617971200,7982015666,7982015666
1695243535241,sensor,all,0,21,127007719424,8982154700,8982154700
1695243536241,sensor,all,0,21,135716405248,9982650240,9982650240
1695243537242,sensor,all,0,21,171754913792,10982819453,10982819453
1695243538242,sensor,all,0,21,88382898176,11983103580,11983103580
1695243539242,sensor,all,0,21,174489337856,12983536340,12983536340
1695243540242,sensor,all,0,21,134123356160,13983580773,13983580773
1695243541243,sensor,all,0,21,124967452672,14984129966,14984129966
1695243542243,sensor,all,0,21,171838013440,15984360530,15984360530
1695243543243,sensor,all,0,21,91158478848,16984570121,16984570121
1695243544244,sensor,all,0,21,169050374144,17985032943,17985032943
1695243545244,sensor,all,0,21,138930028544,18985128217,18985128217
1695243546244,sensor,all,0,21,120330911744,19985659001,19985659001
1695243547245,sensor,all,0,21,175965470720,20985840061,20985840061
1695243548245,sensor,all,0,21,94684577792,21985989675,21985989675
1695243549245,sensor,all,0,21,167846871040,22986496657,22986496657
1695243550245,sensor,all,0,21,145297768448,23986399933,23986399933
1695243551246,sensor,all,0,21,113696833536,24987067113,24987067113
1695243552246,sensor,all,0,21,174095073280,25987367577,25987367577
1695243553246,sensor,all,0,21,97939357696,26987512963,26987512963
1695243554247,sensor,all,0,21,163666460672,27987958115,27987958115
1695243555247,sensor,all,0,21,151608885248,28988074934,28988074934
1695243556247,sensor,all,0,21,108544655360,29988633501,29988633501
1695243557248,sensor,all,0,21,174410170368,30988840341,30988840341
1695243558248,sensor,all,0,21,106915954688,31988988957,31988988957
1695243559248,sensor,all,0,21,153347424256,32989488694,32989488694
1695243560248,sensor,all,0,21,157915283456,33989510327,33989510327
1695243561249,sensor,all,0,21,101990531072,34989966865,34989966865
1695243562249,sensor,all,0,21,174481735680,35990426592,35990426592
1695243563249,sensor,all,0,21,111782395904,36990291627,36990291627
1695243564250,sensor,all,0,21,152930877440,37990876682,37990876682
1695243565250,sensor,all,0,21,160867549184,38990903894,38990903894
1695243566250,sensor,all,0,21,96205799424,39991463114,39991463114
1695243567251,sensor,all,0,21,175676850176,40991823047,40991823047
1695243568251,sensor,all,0,21,117187805184,41991934967,41991934967
1695243569251,sensor,all,0,21,141609664512,42992470027,42992470027
1695243570252,sensor,all,0,21,168383479808,43992522128,43992522128
1695243571252,sensor,all,0,21,91053621248,44993012844,44993012844
1695243572252,sensor,all,0,21,175371714560,45993352144,45993352144
1695243573252,sensor,all,0,21,123115143168,46993364954,46993364954
1695243574253,sensor,all,0,21,136206614528,47993797918,47993797918
1695243575253,sensor,all,0,21,172759449600,48994114188,48994114188
1695243576253,sensor,all,0,21,85408350208,49994347462,49994347462
1695243577254,sensor,all,0,21,174803648512,50994765112,50994765112
1695243578254,sensor,all,0,21,129004994560,51994906664,51994906664
1695243579254,sensor,all,0,21,131000172544,52995411382,52995411382
1695243580255,sensor,all,0,21,175207612416,53995622057,53995622057
1695243581255,sensor,all,0,21,88517378048,54995804164,54995804164
1695243582255,sensor,all,0,21,175345762304,55996258695,55996258695
1695243583256,sensor,all,0,21,135330529280,56996408819,56996408819
1695243584256,sensor,all,0,21,126365728768,57996897195,57996897195
1695243585256,sensor,all,0,21,174272282624,58997140752,58997140752
1695243586256,sensor,all,0,21,96039862272,59997292319,59997292319
1695243587257,sensor,all,0,21,172989087744,60997706925,60997706925
1695243588257,sensor,all,0,21,143688728576,61997789175,61997789175
1695243589257,sensor,all,0,21,135608664064,62998313045,62998313045
