minutes,pyaes-0-0.0.1,cnn_image_classification-0-0.0.1,dd-0-0.0.1,image_processing-0-0.0.1
1188,31.15282410523009,20.066369278616666,13.220939948887015,24.03683092709796
1189,25.55244941942936,21.21052414432392,12.450241986970347,21.988585001937697
1190,18.434339518852173,26.01624051332681,20.556974068178317,20.24637743737031
1191,25.76631551476183,25.76777599597276,16.225894808341884,22.699584468110874
1192,28.186844735142145,29.715674779501963,12.664286287045433,27.25510732827211
1193,30.098191790934848,35.15400154607621,12.404575313996013,23.356535742787443
1194,29.281369469616592,35.330167411180845,17.780657651112843,22.859253658695806
1195,30.703454490461016,40.697724290836,16.643009591202766,25.015511878214905
1196,35.015249216485195,42.007584464673684,10.456620672279547,26.70228055438096
1197,39.34776345590202,36.63766965667193,12.860585731988833,21.797523336659598
1198,36.069962705895605,33.878057329106554,8.75439811267168,24.29155916110482
1199,41.358610010434454,44.06794968447846,9.82262135735186,22.162476615695553
