minutes,dd-0-0.0.1,image_processing-0-0.0.1,cnn_image_classification-0-0.0.1
1088,8.715055100076235,11.05438031481536,13.290839918546004
1089,8.866019254875475,18.837207407779605,15.659414464129458
1090,10.931847273232473,13.478514374606062,14.039027768518132
1091,8.4744812949685,13.272665599377063,15.915733310320448
1092,8.38886872402052,11.467827789670464,25.176194406259487
1093,6.870222207752325,12.662199192122692,15.771718627644711
1094,7.576924119677762,11.190602997670455,10.961303428629336
1095,6.313998909044504,11.386262650089545,25.52278578125924
1096,7.323058570078407,9.667690322746509,15.956149298674276
1097,7.87139299126078,8.94183717632357,25.368128237145
1098,5.590952857102709,8.104912521019324,21.98194506272308
1099,7.102364028369573,9.414129442912843,19.71168305902939
