timestamp,sensor,target,socket,cpu,APERF,MPERF,TSC,time_enabled,time_running
1677612591069,sensor,all,0,3,425347,422364,428751,134515,134515
1677612591069,sensor,all,0,11,16068,13093,20570,129476,129476
1677612591069,sensor,all,0,10,380962,377766,384592,119887,119887
1677612591069,sensor,all,0,4,9470,6619,13136,124737,124737
1677612591069,sensor,all,0,5,376455,372959,380112,117578,117578
1677612591069,sensor,all,0,6,7527,4965,10483,114526,114526
1677612591069,sensor,all,0,7,9161,4731,12379,110517,110517
1677612591069,sensor,all,0,8,339466,339073,340177,106249,106249
1677612591069,sensor,all,0,9,7553,5667,12822,103263,103263
1677612591069,sensor,all,0,0,9861,4976,15715,98759,98759
1677612591069,sensor,all,0,1,30199,26808,32843,94446,94446
1677612591069,sensor,all,0,2,26691,22949,30477,93583,93583
1677612592069,sensor,all,0,3,309496915,309494178,309499100,1000366574,1000366574
1677612592069,sensor,all,0,11,80346427,80343459,80349248,1000364865,1000364865
1677612592069,sensor,all,0,10,95324383,95321734,95327240,1000361885,1000361885
1677612592069,sensor,all,0,4,215771748,215769092,215774049,1000365051,1000365051
1677612592069,sensor,all,0,5,185189353,185187035,185191378,1000342602,1000342602
1677612592069,sensor,all,0,6,570070430,570068469,570072023,1000327486,1000327486
1677612592069,sensor,all,0,7,57397201,57395198,57399041,1000350748,1000350748
1677612592069,sensor,all,0,8,274105148,274104631,274104930,1000335050,1000335050
1677612592069,sensor,all,0,9,48256832,48252685,48257061,1000347205,1000347205
1677612592069,sensor,all,0,0,42682986,42679593,42685282,1000347781,1000347781
1677612592069,sensor,all,0,1,22955137,22949452,22959977,1000332820,1000332820
1677612592069,sensor,all,0,2,836971586,836968735,836974450,1000337761,1000337761
1677612593070,sensor,all,0,3,63181287,63180422,63182159,2000686391,2000686391
1677612593070,sensor,all,0,11,50349509,50345476,50353661,2000688243,2000688243
1677612593070,sensor,all,0,10,224714552,224711496,224717873,2000693121,2000693121
1677612593070,sensor,all,0,4,230092577,230089901,230095296,2000692521,2000692521
1677612593070,sensor,all,0,5,178460294,178457407,178462416,2000678135,2000678135
1677612593070,sensor,all,0,6,710058375,710055348,710060652,2000694429,2000694429
1677612593070,sensor,all,0,7,301139835,301137466,301142121,2000758415,2000758415
1677612593070,sensor,all,0,8,253990876,253991242,253991212,2000714010,2000714010
1677612593070,sensor,all,0,9,164876523,164874763,164894930,2000763003,2000763003
1677612593070,sensor,all,0,0,31397694,31395648,31399668,2000759092,2000759092
1677612593070,sensor,all,0,1,26022294,26015503,26024351,2000746610,2000746610
1677612593070,sensor,all,0,2,510432144,510430107,510434038,2000791935,2000791935
1677612594070,sensor,all,0,3,40594340,40593302,40595233,3000958968,3000958968
1677612594070,sensor,all,0,11,25251318,25246745,25256144,3000959415,3000959415
1677612594070,sensor,all,0,10,203207369,203204279,203210332,3000965295,3000965295
1677612594070,sensor,all,0,4,457679993,457669838,457684778,3000964589,3000964589
