minutes,image_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1,cp
1149,10.773215592485336,6.454911668105704,8.648218982124693,23.272879166568924,
1151,12.720502295207588,11.806425447022328,11.41201927009034,35.16742393369424,
1152,13.19903491870448,10.813164553662558,9.85276794174913,31.776278786707874,
1153,14.077861574428217,10.316210423048213,9.149610525662073,31.865516047997986,
1154,13.930368588873467,11.502466504739651,13.992537308241252,42.583372310263904,
1155,10.926968160095713,8.807133500518928,10.955569398296797,20.47672628611556,
1156,13.156287695059909,9.732673735368294,9.781793546456443,48.584630207108056,
1157,13.241825782547943,10.03283731008581,7.922622690386055,31.637357226280095,
1158,11.833687830447218,8.046545913632086,8.446213339604423,21.292320442268913,
1159,10.746114905807435,8.864087516761877,10.296365798922286,28.546764683565105,
1160,11.429880647694548,6.516240800071728,8.5019469813881,28.775729427466327,
1161,,,,,
