minute,tegra,igpm
1073,13.233872085073111,13.597470735734197
1074,13.74322082081315,13.381027287444544
1075,13.142331516469024,14.234135053080871
1076,13.319175625231344,13.829115628972502
1077,13.612328347435502,14.449083449508965
1078,14.023179493711849,14.784127026880645
1079,13.50432525561888,13.768987252781615
1080,13.789888137111667,13.539419992618846
1081,13.895345254281311,14.311389309025918
1082,13.150950759469243,14.372533586563595
1083,12.519893674264104,14.36451117198356
1084,14.027928280295866,15.86677617964429
