minutes,pyaes-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1,image_processing-0-0.0.1
1122,13.219732757652002,8.652823376939315,4.020571293900159,9.576151694254301
1123,14.50676931313379,9.475790386869965,6.705032090676423,6.375308527692112
1124,9.851215668718991,11.267803205643956,2.348142659414264,10.318427397445143
1125,8.388179186907443,11.709234754576732,3.534610893112978,8.59774092827679
1126,9.051782287071566,13.607250029325924,5.805862197750433,11.232576798067429
1127,7.6484733998479415,10.405594509689397,1.7352409838865124,8.04520322810893
1128,6.2656401117317735,6.093331839006542,6.730178690032361,4.673760826633903
1129,5.6245093934416515,8.530842936564001,4.180092659044059,8.46643853021579
1130,4.99953498775185,8.866537765763916,5.643491320720821,7.163982609095398
1131,3.9323115359376986,9.185235736352523,7.39496884137789,7.812564048923795
1132,5.8849131631728655,13.00508287210407,5.169350267452909,6.530791478471463
1133,5.432391894398865,9.3131041970958,8.115860952626635,8.495191331236345
1134,1.9937663834930752,6.705195453850739,4.297302609336853,3.641108995306743
1135,-0.0010244046921365612,24.281223587696907,0.7171882766029672,-0.0022112326051298113
