minutes,cnn_image_classification_gpu-0-0.0.1,dd-0-0.0.1,image_processing-0-0.0.1,pyaes-0-0.0.1
1008,1.6898341874899507,50.81786409337287,0.654824426261975,32.73351830465502
1009,1000.0,57.77165163779539,6.883580852129854,18.129060070034427
1010,1000.0,52.37882470810899,18.598775011486556,0.9299215631502733
1011,1000.0,45.4737634690763,2.5364365586685746,10.084028183290696
1012,1000.0,65.90767962742568,8.446544346530843,15.014971094609947
1013,1000.0,51.88345523954718,10.344968586977961,6.3078428354182705
1014,1000.0,53.710476874463566,0.422974551038031,13.91885010535941
1015,1000.0,63.306243844452496,7.366962752848133,20.507999105125574
1016,13.474771657773369,61.14846344749941,19.514821040782234,79.38300788318169
1017,18.548178863917563,55.916733235144136,30.53374722938554,39.05224069870159
1018,65.4225396461303,29.223562534965296,7.98823854511312,16.384839094932968
1019,94.23688730663574,50.07954332972244,16.709583153130197,50.458962712071894
1020,153.80890011127264,17.738377962322737,199.97151332045644,80.46327093613476
