minutes,cnn_image_classification_gpu-0-0.0.1,dd-0-0.0.1,image_processing-0-0.0.1,pyaes-0-0.0.1
1008,38.84570988701103,3.435615353831722,7.497518834577136,13.012957727811136
1009,,2.9498589137239097,6.936002425606361,11.581162653951212
1010,,3.3265745373674775,8.834117534602695,9.894989747487969
1011,,3.8089272041367215,7.259810016575112,10.792442056484632
1012,,2.381517133418838,8.07790399931171,11.275862917189693
1013,,3.36117854389622,8.219312735354931,10.422231570603762
1014,,3.2335520497435803,7.417236362492406,11.168401167664264
1015,,2.5632402845840896,6.8999965518135555,11.814389599910914
1016,43.34757839397644,2.7139719135650537,8.902351445864598,17.58639060040338
1017,45.28562958703064,3.0794341350268732,9.723122900256142,13.632434017279897
1018,63.1917244748216,4.944084081789925,8.043765979622027,11.410162336119956
1019,74.19886003312865,3.4871907094947185,8.69339649494172,14.750728727378565
1020,96.95548212111036,5.74638100793959,22.344106045352436,17.69229766609819
