minutes,image_processing-0-0.0.1,dd-0-0.0.1,cnn_image_classification_gpu-0-0.0.1,pyaes-0-0.0.1
1008,2.7951830316483957,2.9073382441515037,7.98047782605308,3.3558469892615217
1009,2.5858416251141665,2.4962741027326314,,2.9866084742094547
1010,3.2934862822124154,2.8150640797790474,,2.5517697242582686
1011,2.7065617598366885,3.223247828784198,,2.7832092395589028
1012,3.0115589821568327,2.0153233490962505,,2.9078762425474824
1013,3.0642781961042496,2.84434720411649,,2.6877374974367267
1014,2.7652525694966883,2.7363451872425366,,2.8801634660866045
1015,2.5724181166594526,2.169103855008013,,3.0467542120797013
1016,3.3189248673164204,2.296658247571447,8.905343452145221,4.535266861138716
1017,3.6249202896414934,2.6059252008884095,9.303497446934138,3.515600650528684
1018,2.998831836620284,4.183857403378158,12.982132581132054,2.9425100521781316
1019,3.2410234513833327,2.9509831195324194,15.243442813508628,3.8039921149819347
1020,8.330204625467141,4.862789209279723,19.91857215204423,4.562578707913864
