,0
0,0.422974551038031
1,0.654824426261975
2,0.9299215631502733
3,1.6898341874899507
4,2.5364365586685746
5,6.3078428354182705
6,6.883580852129854
7,7.366962752848133
8,7.98823854511312
9,8.446544346530843
10,10.084028183290696
11,10.344968586977961
12,13.474771657773369
13,13.91885010535941
14,15.014971094609947
15,16.384839094932968
16,16.709583153130197
17,17.738377962322737
18,18.129060070034427
19,18.548178863917563
20,18.598775011486556
21,19.514821040782234
22,20.507999105125574
23,29.223562534965296
24,30.53374722938554
25,32.73351830465502
26,50.81786409337287
27,39.05224069870159
28,45.4737634690763
29,50.07954332972244
30,52.37882470810899
31,57.77165163779539
32,50.458962712071894
33,51.88345523954718
34,53.710476874463566
35,65.90767962742568
36,55.916733235144136
37,61.14846344749941
38,63.306243844452496
39,65.4225396461303
40,79.38300788318169
41,80.46327093613476
42,94.23688730663574
43,153.80890011127264
44,199.97151332045644
