minutes,video_processing-0-0.0.1,dd-0-0.0.1,pyaes-0-0.0.1
1307,4.794672509858936,1.7998036814641853,0.9954807823052587
1308,3.075006966230924,2.1599130389676726,1.2805265278188052
1309,3.8447411633916757,1.6482464201186755,1.318080165938286
1310,6.392988760915852,1.193765345581147,1.6567010184818391
1311,3.8876033287293525,1.2439552315068432,1.5144001176494202
1312,4.705701015272475,1.5874146010774883,1.2509232410018436
1313,5.079779677103035,1.4427424959322883,2.587263202204261
1314,5.005324933134957,1.262968405707229,1.971721507961176
1315,4.23378366164502,1.337438645672051,1.8085031890074668
1316,5.427605856876525,1.4298948408222212,2.3161092408005244
1317,4.142256314095075,1.1843082942886383,2.9756071959317256
