minutes,dd-0-0.0.1,pyaes-0-0.0.1,video_processing-0-0.0.1
1307,1.6581261730321752,10.086212392142823,3.6470171312087794
1308,5.447400931604634,13.506543530662654,2.3468214208069518
1309,3.9465993854420542,10.744844347198352,5.1905412853789805
1310,3.9665224421975482,11.226746956331159,6.875301102335233
1311,4.1057416404465235,9.66827493805015,2.2123843520501016
1312,5.209832866612499,12.57359834979911,4.277660777436221
1313,5.031514473578604,13.018825711210535,6.011376189747782
1314,4.925565199288361,7.774439894750278,5.432294391921478
1315,6.445599670625895,11.280711921018952,3.863440357022503
1316,4.7881054310580495,11.74244660970431,5.305706120372625
1317,4.405414849803741,13.5432373709413,3.7165458630674113
1318,,,
