minutes,dd-0-0.0.1,pyaes-0-0.0.1,video_processing-0-0.0.1
1307,1.9682814553593833,4.653212388745718,9.013696943591878
1308,2.5453927861963197,5.641907716782609,6.020771766309865
1309,2.02378331940612,6.179456933870087,7.698326594126953
1310,1.585813712512987,7.093272146490933,10.772942133449035
1311,1.6501400283784504,7.010847636353825,6.966483096081343
1312,1.8732011300670137,5.707248835310669,8.363507965466166
1313,1.7147426508590957,7.840091190923706,8.421203492634366
1314,1.7314757885853433,4.945164769899857,8.745365191947409
1315,2.1727150197945484,5.2970545751270075,9.16681918171593
1316,1.8707321672074118,5.234007362538607,9.635800835971422
1317,1.7401518122599589,6.382161706632254,8.631259622662146
1318,1.9427537084455522,7.516192503259237,7.8463348958311085
1319,2.8036057253060056,4.622611754455952,8.341060861709826
1320,,,642.8947084817494
