minutes,dd-0-0.0.1,pyaes-0-0.0.1,video_processing-0-0.0.1
1307,3.8760537820111765,16.6646956138348,97.9413892893727
1308,4.551512394007143,21.721079482107264,62.7604984777568
1309,3.927912028547913,22.405869617321272,77.25040214597105
1310,2.8864317240044355,28.14872291275681,126.58467346432677
1311,2.9258048306214195,27.267469767137552,77.04829266042628
1312,3.550821155552293,21.449862739834263,95.94210646466468
1313,3.1090284815707703,31.10332418034913,104.01771460304846
1314,2.895101457301474,20.4215273587886,104.5605256066696
1315,3.1680024880008735,18.76742280162684,90.6152765894424
1316,2.996951901205479,18.90329825690295,120.0244187010566
1317,2.7864603365553027,24.14822471699278,89.12174016382511
