minutes,video_processing-0-0.0.1,dd-0-0.0.1,pyaes-0-0.0.1
1307,12.655674477623135,5.812392194935235,11.98307839764444
1308,8.109711783249502,6.825285871124123,15.61897104796034
1309,9.982050999259938,5.890156974364264,16.111382914720785
1310,16.356868458211345,4.328390204924267,20.240894959827916
1311,9.955935055056438,4.387432713223046,19.607212486602332
1312,12.3973335167506,5.324684932373198,15.423947294708407
1313,13.440837887576581,4.662188374160486,22.365459334945903
1314,13.510978197148914,4.341391028179544,14.68450243620696
1315,11.709017520953244,4.750623693677785,13.495085896854452
1316,15.509173225617452,4.4941223261676635,13.592789825604134
1317,11.51602749946969,4.178476673067987,17.364257749024148
