minutes,dd-0-0.0.1,image_processing-0-0.0.1,pyaes-0-0.0.1
1123,3.9956695604712023,5.089439112552099,10.604364007100076
1124,2.6124889781476472,6.106986253037661,7.506653743249378
1125,5.411775136812243,5.37735416213032,6.497207976020341
1126,3.5251763728935512,4.779715498817942,5.941084821327573
1127,2.746615822714499,4.366528290931588,4.929053560070882
1128,2.9282511507087103,5.054242022336847,7.4163979890105125
1129,4.299663877006795,6.630194572835102,7.1885493792823585
1130,4.803809239952844,5.310524766038569,9.729836249582869
1131,3.69498629230028,7.330342237658499,6.5944209182615285
1132,5.399677645148035,6.0937261208794675,7.45307391493262
1133,5.375144890191606,8.648765248951028,9.141534714113277
1134,,,
