minutes,dd-0-0.0.1,image_processing-0-0.0.1,pyaes-0-0.0.1
1123,2.531124009283112,7.166785437617572,14.378877469384776
1124,1.6549250323385625,8.599662787606043,10.178569342490766
1125,3.428179876819319,7.572218205149677,8.809821816542279
1126,2.233082195449664,6.730642547309339,8.055752388723592
1127,1.7398899353253119,6.148805531677005,6.683499088944954
1128,1.8549498852692068,7.117222020505645,10.05618798796176
1129,2.723694316117522,9.336428015412132,9.747239027075729
1130,3.0430536657858185,7.478111186257576,13.193070620384077
1131,2.3406511416600493,10.322353571739711,8.941636698037152
1132,3.4205165174899332,8.580990293456768,10.105918329598197
1133,3.4049758317189225,12.17891470332835,12.39536925065512
1134,,,
