seconds,perf_rapl,energy_ram,retired_instructions,igpm,voltage,current,power_factor,discard,rapl_uj,rapl_uj_diff,minute,second,rapl_pw,load_avg_1minute,cpu_pct,hw_cpu_hz_mean,hw_cpu_hz_max,hw_cpu_hz_min,hw_cpu_hz_std,hw_cpu0_hz,hw_cpu1_hz,hw_cpu2_hz,hw_cpu3_hz,hw_cpu4_hz,hw_cpu5_hz,hw_cpu6_hz,hw_cpu7_hz,hw_cpu8_hz,hw_cpu9_hz,hw_cpu10_hz,hw_cpu11_hz,kern_cpu_hz_mean,kern_cpu_hz_max,kern_cpu_hz_min,kern_cpu_hz_std,kern_cpu0_hz,kern_cpu1_hz,kern_cpu2_hz,kern_cpu3_hz,kern_cpu4_hz,kern_cpu5_hz,kern_cpu6_hz,kern_cpu7_hz,kern_cpu8_hz,kern_cpu9_hz,kern_cpu10_hz,kern_cpu11_hz,cpu_pct_process,x_rest
75660,19.18,,,31.826,,,,,82445765280.0,13776.0,0.01667835,1.0,14.099648,3.41,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022915.0,885059.0,4046215.0,1113325.5145960234,972852.0,1136714.0,1498743.0,4046215.0,1863724.0,3480235.0,2356444.0,3939787.0,1560995.0,1140424.0,885059.0,1393788.0,1.6,12.646
75661,20.07,,,31.826,,,,,82460520408.0,13524.0,0.03334625,2.0,14.755128,3.41,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022915.0,885059.0,4046215.0,1113325.5145960234,972852.0,1136714.0,1498743.0,4046215.0,1863724.0,3480235.0,2356444.0,3939787.0,1560995.0,1140424.0,885059.0,1393788.0,2.2,11.756
75662,18.91,,,31.826,,,,,82474428912.0,12036.0,0.050007633333333336,3.0,13.908504,3.41,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2150626.583333333,840934.0,3460478.0,973539.956227055,3181114.0,3460478.0,1508131.0,3040053.0,1885019.0,3368542.0,1476727.0,1355976.0,1631203.0,3199721.0,859621.0,840934.0,2.8,12.916
75663,16.28,,,31.826,,,,,82486373004.0,19716.0,0.06668243333333333,4.0,11.944092,3.41,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2150626.583333333,840934.0,3460478.0,973539.956227055,3181114.0,3460478.0,1508131.0,3040053.0,1885019.0,3368542.0,1476727.0,1355976.0,1631203.0,3199721.0,859621.0,840934.0,3.0,15.546
75664,22.56,,,31.826,,,,,82502942004.0,28068.0,0.0833373,5.0,16.569,3.21,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1631840.6666666667,853593.0,3137972.0,739616.8407950986,2267106.0,2524499.0,874162.0,3137972.0,1296852.0,2306202.0,1774250.0,890036.0,986062.0,1030860.0,853593.0,1640494.0,3.0,9.266000000000002
75665,19.21,,,31.826,,,,,82517106708.0,15228.0,0.10001855,6.0,14.164704,3.21,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1631840.6666666667,853593.0,3137972.0,739616.8407950986,2267106.0,2524499.0,874162.0,3137972.0,1296852.0,2306202.0,1774250.0,890036.0,986062.0,1030860.0,853593.0,1640494.0,3.3,12.616
75666,17.5,,,31.826,122.53,0.287,0.905,0.0,82529968104.0,12300.0,0.11668021666666667,7.0,12.861396,3.21,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1875515.5833333333,916104.0,3270770.0,865984.8817901365,1273416.0,2865277.0,2572471.0,3270770.0,1190740.0,1008783.0,1410451.0,916104.0,2941989.0,2693325.0,1402722.0,960139.0,3.4,14.326
75667,17.95,,,34.188412159494675,122.58,0.27742,0.9391,0.0,82543188024.0,7500.0,0.13333845,8.0,13.21992,3.21,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1875515.5833333333,916104.0,3270770.0,865984.8817901365,1273416.0,2865277.0,2572471.0,3270770.0,1190740.0,1008783.0,1410451.0,916104.0,2941989.0,2693325.0,1402722.0,960139.0,3.5,16.238412159494676
75668,17.6,,,33.61311311438946,122.49,0.28115,0.9391,0.0,82556082108.0,21864.0,0.15000373333333333,9.0,12.894084,2.96,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2381622.833333333,818203.0,3986088.0,1070679.3323592762,1324093.0,3333345.0,1644872.0,2553373.0,1360415.0,2287301.0,1067719.0,818203.0,3178670.0,3221865.0,3803530.0,3986088.0,3.6,16.013113114389462
75669,18.18,,,34.61531735550019,122.5,0.31809,0.9068,0.0,82569475200.0,13138.0,0.16666833333333334,10.0,13.393092,2.96,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2381622.833333333,818203.0,3986088.0,1070679.3323592762,1324093.0,3333345.0,1644872.0,2553373.0,1360415.0,2287301.0,1067719.0,818203.0,3178670.0,3221865.0,3803530.0,3986088.0,3.6,16.43531735550019
75670,17.35,,,32.71080805451873,122.51,0.27489,0.9384,0.0,82582173384.0,18636.0,0.18333648333333336,11.0,12.698184,2.96,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1935414.1666666667,966398.0,3838508.0,962282.5105883088,3153199.0,2540292.0,3301308.0,1347183.0,1384557.0,1107265.0,3838508.0,1534187.0,1166202.0,1079949.0,1805922.0,966398.0,3.7,15.360808054518728
75671,19.42,,,32.88324440476173,122.5,0.28292,0.9429,0.0,82596488184.0,9300.0,0.20001495,12.0,14.3148,2.96,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1935414.1666666667,966398.0,3838508.0,962282.5105883088,3153199.0,2540292.0,3301308.0,1347183.0,1384557.0,1107265.0,3838508.0,1534187.0,1166202.0,1079949.0,1805922.0,966398.0,3.7,13.463244404761731
75672,20.12,,,36.173388511442674,122.54,0.31369,0.951,0.0,82611200712.0,8892.0,0.21667525,13.0,14.712528,2.96,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2213918.833333333,885512.0,3969256.0,1147139.0168284485,1106415.0,885512.0,945136.0,3871687.0,2780678.0,2748790.0,1550242.0,3882311.0,1533593.0,1186769.0,2106637.0,3969256.0,3.8,16.053388511442673
