,image_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1,cp
0,83.654481,84.11138399999999,66.73996400000001,0.0
1,65.0,76.0,84.0,0.0
2,66.0,88.0,96.0,0.0
3,74.0,62.0,89.0,0.0
4,68.0,63.0,108.0,0.0
5,103.0,71.0,120.0,0.0
6,70.0,70.0,104.0,0.0
7,53.0,70.0,76.0,0.0
8,72.0,61.0,83.0,0.0
9,82.0,65.0,86.0,0.0
10,72.0,72.0,77.0,0.0
11,67.0,87.0,116.0,0.0
12,95.0,101.0,91.0,0.0
13,48.0,52.0,71.0,0.0
