minutes,cnn_image_classification-0-0.0.1,dd-0-0.0.1,pyaes-0-0.0.1,image_processing-0-0.0.1
1229,9.41359849760846,7.939047799837251,1.2131214414530374,6.9674007376538825
1230,13.77848121280761,9.73587858601748,13.50398847164451,16.626875269797964
1231,14.796164610206754,8.879897252440397,18.88431846816195,11.16625739166876
1232,21.075461239366422,9.33654551830394,11.277167211997087,9.75506003338989
1233,25.765331414634534,9.593721594465475,6.2262994593706456,10.861284560290754
1234,14.62020483811519,7.954111807951774,11.275657007107892,10.805529759181319
1235,13.948785939648413,4.291731461839481,12.399973639868191,8.602725397692614
1236,13.085199059725475,3.497432724718849,11.710037387422698,9.492140155616484
1237,16.592592356149098,6.30388280656736,12.984270081480815,8.034281420874366
1238,8.92398249498142,2.3799655334601577,7.157021389401806,4.708008038596009
1239,8.6475183217476,2.8263767835497338,6.27744185663139,4.842832540591827
1240,3.0396841073145953,2.497768568962482,8.354568209551655,5.152539248511712
