minutes,pyaes-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1
56,2.35,1.0166666666666666,2.033333333333333
57,3.0166666666666666,0.95,1.4166666666666667
58,2.05,0.65,2.5
59,1.7166666666666666,0.7833333333333333,2.6666666666666665
60,2.1666666666666665,0.7833333333333333,2.2
61,1.9166666666666667,0.65,2.5
62,1.8,0.8333333333333334,2.45
63,1.5333333333333334,0.7333333333333333,2.716666666666667
64,1.3166666666666667,0.85,2.8333333333333335
65,1.5333333333333334,0.7,2.683333333333333
66,1.3333333333333333,0.5166666666666667,3.0
67,1.05,0.65,3.15
68,2.0,0.9833333333333333,2.066666666666667
69,1.4833333333333334,0.65,2.7333333333333334
70,1.0666666666666667,0.55,3.1333333333333333
71,1.1,0.55,3.1166666666666667
72,1.4666666666666666,0.45,2.816666666666667
73,0.65,0.65,1.1666666666666667
