timestamp,load_avg_1minute,cpu_pct
2023-08-24 09:31:43.256221072,1.22,2
2023-08-24 09:31:45.256747424,1.22,1
2023-08-24 09:31:47.257378944,1.2,2
2023-08-24 09:31:49.258092557,1.2,1
2023-08-24 09:31:51.258758342,1.2,0
2023-08-24 09:31:53.259162337,1.27,1
2023-08-24 09:31:55.259943154,1.27,0
2023-08-24 09:31:57.260731929,1.24,0
2023-08-24 09:31:59.261644178,1.24,2
2023-08-24 09:32:01.262360408,1.24,1
2023-08-24 09:32:03.262956805,1.3,6
2023-08-24 09:32:05.26364732,1.3,30
2023-08-24 09:32:07.26439351,2.0,39
2023-08-24 09:32:09.26457018,2.0,51
2023-08-24 09:32:11.26485619,2.0,64
2023-08-24 09:32:13.264633763,3.44,75
2023-08-24 09:32:15.265984616,3.44,68
2023-08-24 09:32:17.266021856,6.77,74
2023-08-24 09:32:19.267095957,6.77,46
2023-08-24 09:32:21.267726829,6.77,54
2023-08-24 09:32:23.268530609,7.75,63
2023-08-24 09:32:25.268853869,7.75,44
2023-08-24 09:32:27.269808415,8.25,55
2023-08-24 09:32:29.270851929,8.25,53
2023-08-24 09:32:31.271306439,8.25,44
2023-08-24 09:32:33.272102402,8.55,40
2023-08-24 09:32:35.27270449,8.55,42
2023-08-24 09:32:37.273659744,8.51,21
2023-08-24 09:32:39.274471265,8.51,26
2023-08-24 09:32:41.275527171,8.51,41
2023-08-24 09:32:43.276517721,8.71,37
2023-08-24 09:32:45.277031553,8.71,40
2023-08-24 09:32:47.277287523,8.65,31
2023-08-24 09:32:49.278122739,8.65,52
2023-08-24 09:32:51.279049211,8.65,41
2023-08-24 09:32:53.279998501,8.76,39
2023-08-24 09:32:55.279996323,8.76,45
2023-08-24 09:32:57.281687754,9.1,53
2023-08-24 09:32:59.281971806,9.1,62
2023-08-24 09:33:01.282894596,9.1,50
2023-08-24 09:33:03.28367313,9.01,22
2023-08-24 09:33:05.283788876,9.01,32
2023-08-24 09:33:07.285697597,9.49,54
2023-08-24 09:33:09.286623442,9.49,31
2023-08-24 09:33:11.287394258,9.49,26
2023-08-24 09:33:13.288285128,9.85,42
2023-08-24 09:33:15.288840129,9.85,50
2023-08-24 09:33:17.289512143,9.94,41
2023-08-24 09:33:19.289964608,9.94,33
2023-08-24 09:33:21.29079173,9.94,46
2023-08-24 09:33:23.291676255,9.95,34
2023-08-24 09:33:25.292514387,9.95,29
2023-08-24 09:33:27.293042829,9.71,20
2023-08-24 09:33:29.293863435,9.71,53
2023-08-24 09:33:31.294708325,9.71,40
2023-08-24 09:33:33.295746543,9.82,38
2023-08-24 09:33:35.29649997,9.82,58
2023-08-24 09:33:37.29688731,9.91,47
2023-08-24 09:33:39.297632266,9.91,34
2023-08-24 09:33:41.297805099,9.91,31
2023-08-24 09:33:43.299656986,10.0,45
2023-08-24 09:33:45.30049465,10.0,42
2023-08-24 09:33:47.301339819,9.6,19
2023-08-24 09:33:49.301364556,9.6,35
2023-08-24 09:33:51.302457069,9.6,50
2023-08-24 09:33:53.303835432,9.95,45
2023-08-24 09:33:55.304318929,9.95,50
2023-08-24 09:33:57.304364733,10.27,50
2023-08-24 09:33:59.304955687,10.27,57
2023-08-24 09:34:01.304872495,10.27,48
2023-08-24 09:34:03.306653963,10.49,60
2023-08-24 09:34:05.307666216,10.49,79
2023-08-24 09:34:07.308479249,11.82,74
2023-08-24 09:34:09.30914219,11.82,69
2023-08-24 09:34:11.309925318,11.82,45
2023-08-24 09:34:13.310739328,11.67,36
2023-08-24 09:34:15.311379406,11.67,48
2023-08-24 09:34:17.31215634,11.46,38
2023-08-24 09:34:19.313012583,11.46,33
2023-08-24 09:34:21.313935929,11.46,48
2023-08-24 09:34:23.313911648,11.34,29
2023-08-24 09:34:25.315832645,11.34,35
2023-08-24 09:34:27.316663128,11.47,49
2023-08-24 09:34:29.31765379,11.47,42
2023-08-24 09:34:31.318215851,11.47,28
2023-08-24 09:34:33.319177396,11.11,22
2023-08-24 09:34:35.320014246,11.11,33
2023-08-24 09:34:37.320713211,11.19,43
2023-08-24 09:34:39.321499259,11.19,28
2023-08-24 09:34:41.322448732,11.19,23
2023-08-24 09:34:43.323270356,10.77,21
2023-08-24 09:34:45.324104057,10.77,30
2023-08-24 09:34:47.323923235,10.95,46
2023-08-24 09:34:49.325678722,10.95,53
2023-08-24 09:34:51.326550691,10.95,52
2023-08-24 09:34:53.327469001,10.71,38
2023-08-24 09:34:55.328481637,10.71,34
2023-08-24 09:34:57.328204953,10.5,25
2023-08-24 09:34:59.329408382,10.5,24
2023-08-24 09:35:01.32942272,10.5,26
2023-08-24 09:35:03.330627971,10.37,37
2023-08-24 09:35:05.331893091,10.37,41
2023-08-24 09:35:07.332912469,10.43,36
2023-08-24 09:35:09.333818933,10.43,34
2023-08-24 09:35:11.334690534,10.43,48
2023-08-24 09:35:13.335560896,10.71,61
2023-08-24 09:35:15.336214097,10.71,68
2023-08-24 09:35:17.33692155,10.9,46
2023-08-24 09:35:19.33777613,10.9,31
2023-08-24 09:35:21.338671019,10.9,38
2023-08-24 09:35:23.339625766,11.14,40
2023-08-24 09:35:25.340552275,11.14,39
2023-08-24 09:35:27.341422423,10.97,38
2023-08-24 09:35:29.342382893,10.97,22
2023-08-24 09:35:31.343318321,10.97,42
2023-08-24 09:35:33.34420101,10.89,34
2023-08-24 09:35:35.344592245,10.89,33
2023-08-24 09:35:37.345417547,11.14,39
2023-08-24 09:35:39.345713616,11.14,59
2023-08-24 09:35:41.346408137,11.14,49
2023-08-24 09:35:43.346986756,11.37,42
2023-08-24 09:35:45.347676276,11.37,39
2023-08-24 09:35:47.348124389,11.34,41
2023-08-24 09:35:49.34889331,11.34,40
2023-08-24 09:35:51.348703763,11.34,34
2023-08-24 09:35:53.350265362,11.23,40
2023-08-24 09:35:55.350936408,11.23,33
2023-08-24 09:35:57.351848462,11.06,33
2023-08-24 09:35:59.351766731,11.06,42
2023-08-24 09:36:01.352985592,11.06,32
2023-08-24 09:36:03.353213617,10.65,25
