minutes,cnn_image_classification-0-0.0.1,dd-0-0.0.1,image_processing-0-0.0.1
81,22.14177115714765,2.824624680355055,6.273287036165928
82,31.88569371015041,2.4696237415779425,5.916419928405547
83,14.777039256598536,3.1020697140448754,10.264384114212946
84,19.92209577579225,3.5543418913938885,8.597812915338485
85,22.729193132945547,3.768094781188342,8.399231416410538
86,22.928269008713038,2.7220100619470027,11.233052020184049
87,27.19914943640029,3.140161569173295,10.885757072681878
88,33.243057348411796,3.5744862089394966,6.733949419073199
89,26.42279302986231,3.202293632987423,12.896750102072657
90,28.63521184340249,4.901960075277565,12.087366375771822
91,34.096090877526834,2.856686005264828,13.702528405066227
92,35.789448476170726,3.700564850974079,9.695772104537618
93,33.625570221732616,5.6777817134423465,10.089414132811239
94,35.93092512048513,4.559565417156028,11.840169296323975
95,33.05418872732302,4.451516361796171,16.35051071102823
96,71.84320154476295,7.403503058913241,21.347662036735336
