minutes,image_processing-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1
81,2.3236322617730334,2.4125898105390684,3.5735543834486587
82,2.1914483014381885,2.1093737218381063,5.146167382839485
83,3.801938909779701,2.6495632625945076,2.384929057166412
84,3.184639146207392,3.035861397795036,3.215311556685675
85,3.1110843455359025,3.218433633843953,3.6683609082586215
86,4.160734543437528,2.3249438360117543,3.7004906084275326
87,4.032096121552081,2.6820985662001546,4.389786119849166
88,2.4942621035987926,3.053067214762085,5.3652380590295845
89,4.776970101389771,2.735167274800012,4.264486665708314
90,4.477173499107065,4.186899240644388,4.621558324205632
91,5.075431251003755,2.4399742720314808,5.502912759285606
92,3.5913244101567567,3.16075445873993,5.7762109261951915
93,3.737129840581536,4.849549890144768,5.42697343446453
94,4.385611435150854,3.8944505237893075,5.799044442035324
95,6.056246743625942,3.802162846841446,5.334755750997519
96,7.9071969664411235,6.32353606709395,11.595079091872716
