minutes,cp,dd-0-0.0.1,image_processing-0-0.0.1,pyaes-0-0.0.1
1131,,8.314177793881981,12.036327420651011,29.609167516613947
1133,,9.394210528772026,20.35359024729396,50.4947180870442
1134,,8.84714177964418,18.925110280224935,40.53236291292905
1135,,7.543558324257171,15.806561478216095,41.61220195708715
1136,,10.27158885859496,23.951166625658125,42.220005103109685
1137,,8.347630162607027,19.13217082196376,37.939604814179404
1138,,9.331204689811191,17.846031781800313,48.333875955112376
1139,,11.170451238647887,17.71180024579005,60.26506867668356
1140,,9.1582600656628,14.972252365816132,35.68959568019997
1141,,7.9445199936275746,14.146723655629401,37.160128261734435
1142,,8.518197394656115,17.847102239768304,46.984504941807735
1143,,9.983367183822502,15.145145125172844,48.52652340861668
1144,,,,
