minutes,cp,dd-0-0.0.1,image_processing-0-0.0.1,pyaes-0-0.0.1
1131,,,,
1133,,6.862673176152076,18.046783124989023,30.040088708928597
1134,,5.37017737254521,19.03317114636033,25.384791693400846
1135,,6.956010236644911,15.042242498655988,27.217000204537484
1136,,8.089235745291958,27.1119882886839,29.264599973979717
1137,,7.141909226062573,21.284511089704466,27.145806350992892
1138,,5.83828805058772,16.669195539595552,32.15318067830636
1139,,8.030742661654077,16.793261466287408,35.09885413002599
1140,,4.926963015051675,17.663369179061544,22.56696679971317
1141,,7.092770834762287,18.604402670120702,31.021911144398704
1142,,6.456404321348141,19.81350792965904,28.694347816507364
1143,,8.820200163366033,18.067558051406873,31.726207224167783
1144,,8.90009757625273,22.145768730825548,28.171234535160007
1145,,,,
