minutes,pyaes-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1,image_processing-0-0.0.1
1156,8.5998908628335,10.556328837313869,7.680524902078891,11.81004001243747
1157,10.093716921776444,8.709255906833253,4.260571996348759,6.3756230264820495
1158,12.196337224230348,10.902597614062367,7.178430718804409,8.106003502898487
1159,6.476349697693929,12.634954941073804,5.0986233684035565,4.846833095664555
1160,8.439612862561177,12.202052228860133,6.69560631835138,9.912810928480967
1161,7.934230597555018,12.769500257776405,7.058464349854656,10.658952554562703
1162,8.17091882139599,8.804670258522542,5.952062062713501,6.025249803876304
1163,8.913938136096155,5.523061364075221,4.160477513612375,4.450394897298599
1164,5.039883662227995,6.893749043892814,3.513590362183453,8.521050450761003
1165,4.040804496346472,7.489488612957378,4.954411280101523,5.783979630817195
1166,0.44010271118124894,6.363714141703118,3.218434850389518,3.2094554892917917
1167,-2.4355545816504587,6.130327471269851,4.729936998400733,0.6552290354152087
1168,-3.5486878051954616,3.380867325441707,4.099491893440312,0.4279947019890089
1169,-0.5213513162365759,6.240817595389566,3.0344154585725303,1.898466583088114
