minutes,cnn_image_classification-0-0.0.1,cp,dd-0-0.0.1,image_processing-0-0.0.1,pyaes-0-0.0.1
1131,,,,,
1133,30.54946762238172,,6.513181452635599,11.723451549995035,26.829810210974514
1134,22.629393532854593,,6.415529960407946,16.29846153928809,21.717747605021252
1135,22.58138569655359,,9.033438902528934,18.691047630548546,17.544258407261466
1136,26.97237308222556,,10.640586744113762,17.45254139503083,27.67862212101366
1137,37.649677723697394,,8.493004527990959,17.513351659156292,23.620584167010062
1138,23.740099094938305,,7.244501650512703,16.283296572304465,25.057290605660658
1139,37.008636960912014,,7.735837251871462,17.20331938654222,22.298049619743676
1140,32.5465546962882,,8.555114580240915,19.874483880381913,20.699962323517944
1141,32.130661902374236,,8.052839409649671,16.92348292955187,29.04052583144498
1142,23.888592663808616,,7.626857231068839,16.072339565040785,20.121733359990113
1143,28.66486578034213,,6.768056067936773,19.83907314936743,31.092177512014842
1144,,,,,
