minutes,pyaes-0-0.0.1,video_processing-0-0.0.1,image_processing-0-0.0.1
1083,35.15152245504275,42.8282880091179,20.31896229246675
1084,34.557379541529905,44.60258293821601,20.699582593016356
1085,29.063309076012317,42.74997494656697,24.832833339556483
1086,29.266900517384414,44.69428432378621,14.381140589458912
1087,25.232503930498684,56.03438001593278,17.053689667964086
1088,22.762239876817986,42.333830311460616,21.207964273303162
1089,22.373600149754818,54.39520997580561,23.04266056266944
1090,26.36182753021728,46.10496328149052,18.180917244746922
1091,30.740471708601085,52.47245818410713,24.72825440055499
1092,25.621092483321465,55.89027448993813,22.738776334496844
1093,22.201234616557173,51.75477717796102,25.70799256782216
1094,30.156377946970128,46.024210412875306,23.729006698901436
