minutes,image_processing-0-0.0.1,pyaes-0-0.0.1,cnn_image_classification-0-0.0.1
28,4.412150527395783,7.998539810978309,5.980022523370797
29,4.675397675237002,7.397983727259559,7.200341438748784
30,4.9392639531740805,7.8950742979539426,7.5296565552118615
31,5.075211230736843,7.071897910881609,8.485853689837693
32,4.808654855507478,7.936502740297352,10.188287513145886
33,4.7829900415253075,7.491147214300752,11.613932442501744
34,4.67532952867912,8.04923816076927,11.914905924674002
35,4.735714054222015,8.041078094657045,11.654426537245744
36,5.168580461474604,7.645698822710198,11.044885446362755
37,5.00571393226743,7.8381701833265,12.878663085090777
38,4.888586878891005,7.992800049560251,13.29735083085068
39,4.701768321557783,8.276728842428074,14.912859920827218
40,5.09326464672837,7.828307639722341,15.202127399357932
41,5.228885110675088,7.417481766666838,17.254153867780207
42,4.963126439519236,7.7841424709306155,15.027320425747456
43,5.024713762104467,8.027357051403476,17.320531244000104
44,5.003174759021788,7.273116739482456,17.629784409815677
45,4.68071834667995,8.313184349393824,17.985558822637213
46,4.575709906479175,8.43453694586773,17.504052599441007
47,5.205788875528521,8.63457188006506,17.5042018611319
