,image_processing-0-0.0.1,pyaes-0-0.0.1,cnn_image_classification-0-0.0.1
0,71.646774,97.23746600000001,70.78945300000002
1,77.63306800000002,98.02044699999998,64.044862
2,56.952536,125.507186,57.249475999999994
3,40.834737000000004,66.831245,132.05429
4,48.786784000000004,66.28755100000001,124.66433600000002
5,53.22743800000001,82.021896,104.48307899999999
6,36.230779,89.28502600000002,114.24357400000002
7,43.904426,88.67507,107.16671
8,40.127589,74.30180600000001,125.31657200000001
9,54.809002,50.077847999999996,134.86963199999994
10,65.273575,58.98314500000001,115.486381
11,27.213249,73.075142,139.501717
12,46.849716,50.510298000000006,142.41359
13,26.938294,61.86839499999999,150.99559900000003
14,48.143322999999995,88.650768,102.97452299999999
15,49.38154199999999,54.38861799999999,136.00067499999997
16,52.12715100000001,42.87003200000001,144.790883
17,31.734589000000007,50.09535499999999,157.97702999999998
18,23.632901000000004,53.32578399999999,162.854636
19,47.41302299999999,81.19350299999999,106.298756
