minutes,image_processing-0-0.0.1,pyaes-0-0.0.1,cnn_image_classification-0-0.0.1
28,1.6166666666666667,2.033333333333333,1.5666666666666667
29,1.7166666666666666,2.0833333333333335,1.3666666666666667
30,1.3166666666666667,2.65,1.1833333333333333
31,0.9166666666666666,1.4166666666666667,2.7
32,1.1,1.4,2.45
33,1.2333333333333334,1.7166666666666666,2.033333333333333
34,0.8166666666666667,1.85,2.2333333333333334
35,1.0,1.8666666666666667,2.066666666666667
36,0.95,1.5666666666666667,2.3833333333333333
37,1.2166666666666666,1.05,2.6
38,1.5166666666666666,1.2333333333333334,2.2
39,0.6166666666666667,1.5166666666666666,2.6166666666666667
40,1.0333333333333334,1.0666666666666667,2.7
41,0.6,1.25,2.8333333333333335
42,1.1,1.85,1.9
43,1.1166666666666667,1.1666666666666667,2.533333333333333
44,1.15,0.9,2.7
45,0.7333333333333333,1.0833333333333333,2.85
46,0.55,1.1333333333333333,2.95
47,1.0833333333333333,1.7166666666666666,1.9333333333333333
