minutes,image_processing-0-0.0.1,pyaes-0-0.0.1,cnn_image_classification-0-0.0.1
28,11.251210014832182,18.254491547875777,14.815676497779798
29,11.87821257759415,16.904749395726313,17.637635317867435
30,12.435943170484002,18.13705442413562,18.141490431302
31,12.726709223707344,16.122023220055063,20.342650918025647
32,11.983141980597326,18.075246297453567,24.32874034444242
33,11.854805579359725,16.992530962479083,27.674003654285116
34,11.52838928231352,18.298203084875855,28.246703614403707
35,11.648816943547224,18.40232279819993,27.356021082067915
36,12.642711153814314,17.434980049455792,25.94705988657992
37,12.208347735077512,17.837297277139555,30.384891074188953
38,11.940290429468527,18.119552165748004,31.461842821978735
39,11.477043285077912,18.71436294538881,35.17612527009608
40,12.431378906653068,17.65767612431496,35.87023870720782
41,12.716084455219926,16.74502676078725,40.686611873119624
42,12.115245250785424,17.535632697915997,35.342684793733284
43,12.274432075197549,18.108429048247956,40.791084157327795
44,12.25153530704421,16.416950168504158,41.54388844167375
45,11.464334446192439,18.72519002570626,42.31665907704442
46,11.140397603450264,18.91331385753894,41.17561695073588
47,12.629197108658186,19.28118627744164,41.25549099836689
