minutes,image_processing-0-0.0.1,pyaes-0-0.0.1,cnn_image_classification-0-0.0.1
28,1.1941129,1.6206244333333335,1.179824216666667
29,1.2938844666666671,1.6336741166666662,1.0674143666666667
30,0.9492089333333333,2.0917864333333336,0.9541579333333332
31,0.68057895,1.1138540833333332,2.2009048333333334
32,0.8131130666666667,1.1047925166666668,2.077738933333334
33,0.8871239666666668,1.3670316,1.7413846499999999
34,0.6038463166666667,1.4880837666666669,1.904059566666667
35,0.7317404333333334,1.4779178333333334,1.7861118333333332
36,0.6687931500000001,1.2383634333333335,2.0886095333333334
37,0.9134833666666666,0.8346307999999999,2.247827199999999
38,1.0878929166666667,0.9830524166666668,1.9247730166666666
39,0.45355415000000004,1.2179190333333334,2.3250286166666667
40,0.7808286,0.8418383000000002,2.373559833333333
41,0.44897156666666665,1.0311399166666666,2.516593316666667
42,0.8023887166666666,1.4775128,1.7162420499999997
43,0.8230256999999999,0.9064769666666664,2.266677916666666
44,0.8687858500000002,0.7145005333333335,2.4131813833333333
45,0.5289098166666668,0.8349225833333331,2.6329504999999997
46,0.3938816833333334,0.8887630666666665,2.7142439333333335
47,0.7902170499999998,1.3532250499999998,1.7716459333333332
