minutes,pyaes-0-0.0.1,video_processing-0-0.0.1,image_processing-0-0.0.1,dd-0-0.0.1
1184,32.993162097316464,26.829175966710206,18.13320881174789,13.671159193531327
1185,37.220267527174386,24.094174452711766,21.053017552666567,13.6168051790907
1186,24.515272124693144,26.577537064525686,21.918699853826567,15.383184510687087
1187,37.31374561694352,30.919163095546985,18.40279076861342,11.825193921206198
1188,38.68392412932661,29.243906361396437,20.950677792328694,15.417518270898169
1189,35.624232517161325,19.459607868229842,26.910403428127523,12.31721729176235
1190,26.895680122477373,29.19916199135835,24.750788594814473,12.204258973588185
1191,44.67221993887153,27.080696268422255,27.199219112351518,10.06024589235562
1192,38.071261412962286,21.90307984903655,26.161421140690486,12.126930401243147
1193,34.441585780748774,24.49021294692325,21.6979881040295,12.161808353868237
1194,28.102266165984958,25.987351538975958,26.765116522147814,9.583393003581067
1195,34.06703513713794,30.697302654911795,25.670901817351087,7.786609515910746
