minutes,image_processing-0-0.0.1,dd-0-0.0.1,cnn_image_classification_gpu-0-0.0.1
1079,2.943179490568063,2.1861181899822415,60.07115902601066
1080,3.1978132674162856,2.183221322411859,13.380001199409575
1081,2.9328617613093932,2.1993858830258532,18.108626299602477
1082,3.0437602003621036,2.475253792193517,14.504723817238311
1083,2.9294244610207185,1.9720912943450046,18.724433104840664
1084,3.9575535489496536,3.1391641009741336,19.698932850854483
1085,2.990219119915512,2.623726392523317,69.7293938208449
1086,2.752191996766641,2.373772282928998,50.410457633535394
1087,3.0819944463216338,2.3717835363609776,31.288269510360294
1088,2.220956573856354,2.2561335935604516,20.32303214478024
1089,2.64138672868948,2.1618401831775795,29.512431411606716
