minutes,cnn_image_classification_gpu-0-0.0.1,dd-0-0.0.1,image_processing-0-0.0.1
1079,328.159108855625,2.8021409985460384,8.188301309413774
1080,73.09280095934635,2.798427827216362,8.896725003948573
1081,98.92452160784829,2.819147373957942,8.159596068612224
1082,79.23698026204018,3.1727516676343805,8.468129692408299
1083,102.28857543518815,2.5278038003996257,8.150033060122663
1084,107.61211127862775,4.023744218776658,11.0104195176642
1085,380.9204967625711,3.3630621286384366,8.31917156717903
1086,275.3842463213051,3.0426738433852036,7.656949704597448
1087,170.9227990042383,3.040124691047739,8.574502248774015
1088,111.02146564189917,2.8918859326467166,6.1789848971627155
1089,161.22168024096442,2.7710217303646254,7.348675294357167
