minutes,pyaes-0-0.0.1,video_processing-0-0.0.1,dd-0-0.0.1
1099,42.72276655166448,66.68378381895909,19.301730923427108
1100,21.11424860938151,37.21695175199394,10.38981193062362
1101,32.551473812872395,42.29064418122997,11.56363499976531
1102,30.81989249005953,42.008680739899624,7.347557109170547
1103,30.21835368127147,39.441400382253704,4.677651968933197
1104,37.800254844678776,54.69081215645604,5.86213209248082
1105,32.39163463550237,40.323618805810085,7.115523791847496
1106,31.9129068809634,57.59760049147367,5.241720454152594
1107,39.52852641906911,42.19292300978316,8.324890961054978
1108,36.12820003337025,38.296021512216385,9.867512568591446
1109,36.59234997661884,44.74987867240002,9.308030971549387
1110,32.05545032560376,60.22470486109408,12.09325370418538
1111,35.409176314034994,45.093238519077616,8.440006736307083
