minutes,dd-0-0.0.1,video_processing-0-0.0.1,pyaes-0-0.0.1
1307,2.6806373130686834,13.554747004325964,14.288800888869
1308,6.990831195559281,13.689791621373885,16.207852236795183
1309,6.248782360283252,22.665363612821547,11.640248042798214
1310,7.4702839328053825,19.48001978994983,10.291184709970228
1311,8.074625226211495,11.246287122921348,9.345999106781811
1312,9.030376968794998,18.251352650394544,14.878758047262279
1313,8.889008903322202,20.73924785462985,10.84902142600878
1314,8.783924605397576,19.375183331186605,10.2363458614212
1315,9.990679489470137,17.19230958875014,14.852937362674952
1316,8.139779232798684,18.65839985664373,14.873765705625457
1317,8.663982537947357,17.901362573774698,14.89756110803543
1318,10.799125862139652,21.7071958030151,13.260763759075411
