minutes,pyaes-0-0.0.1,dd-0-0.0.1,image_processing-0-0.0.1
1115,38.122612242793465,13.712272256937156,29.731001736232574
1116,33.049889101765665,16.654988820823114,30.594446708276518
1117,31.78142859984723,19.16796429977534,27.324647518783745
1118,36.44366180203051,13.183078156264427,27.767574939937425
1119,39.17209795735842,16.35338679553444,34.78765614312762
1120,41.106998234633295,12.585178941030804,23.798814274426615
1121,32.577960296516174,21.566127559146086,25.730189819937955
1122,36.27285633303788,20.724223666895167,29.474907829638838
1123,47.14196744415349,14.034558984137199,29.069722937100355
1124,38.896064860601534,16.03969111998768,25.069293051103433
1125,45.687823432115316,15.090956563220438,29.513624860831598
1126,24.74695104137529,22.715342395327227,31.853065155712393
